atom,channel,delta_Ha,d2,osc,is_core
Na,2s_to_3p,2.850000000000,0.321000000000,1.219800000000,true
Na,2s_to_4p,2.920000000000,0.180000000000,0.700800000000,true
Na,2p_to_3d,1.800000000000,0.456000000000,3.283200000000,true
K,3s_to_4p,1.540000000000,0.520000000000,1.067733333333,true
K,3s_to_5p,1.590000000000,0.250000000000,0.530000000000,true
K,3p_to_3d,1.060000000000,0.900000000000,3.816000000000,true
Mg,2s_to_3p,3.080000000000,0.260000000000,1.067733333333,true
Mg,2p_to_3d,2.020000000000,0.330000000000,2.666400000000,true
Ca,3s_to_4p,2.060000000000,0.480000000000,1.318400000000,true
Ca,3p_to_3d,1.340000000000,0.820000000000,4.395200000000,true
Ar,3s_to_4p,1.380000000000,0.140000000000,0.257600000000,true
Ar,3p_to_4s,0.780000000000,0.090000000000,0.280800000000,true
Ar,3p_to_3d,0.830000000000,0.180000000000,0.597600000000,true
Ar,missing_core_continuum,1.322933690978,,16.864000000000,true
Ca,missing_core_continuum,0.282144041819,,12.286400000000,true
K,missing_core_continuum,0.209801232939,,12.586266666667,true
Mg,missing_core_continuum,0.298051545228,,6.265866666667,true
Na,missing_core_continuum,0.172354979496,,4.796200000000,true
