atom,orbital,type,n,l,occupation,energy_Ha
Na,1s,core,1,0,2,-39.0
Na,2s,core,2,0,2,-2.8
Na,2p,core,2,1,6,-1.7
Na,3s,valence,3,0,1,-0.19
Na,3p,virtual,3,1,0,0.05
Na,4p,virtual,4,1,0,0.12
Na,3d,virtual,3,2,0,0.10
K,1s,core,1,0,2,-132.0
K,2s,core,2,0,2,-15.0
K,2p,core,2,1,6,-12.0
K,3s,core,3,0,2,-1.5
K,3p,core,3,1,6,-1.0
K,4s,valence,4,0,1,-0.16
K,4p,virtual,4,1,0,0.04
K,5p,virtual,5,1,0,0.09
K,3d,virtual,3,2,0,0.06
Mg,1s,core,1,0,2,-49.0
Mg,2s,core,2,0,2,-3.0
Mg,2p,core,2,1,6,-1.9
Mg,3s,valence,3,0,2,-0.28
Mg,3p,virtual,3,1,0,0.08
Mg,3d,virtual,3,2,0,0.12
Ca,1s,core,1,0,2,-150.0
Ca,2s,core,2,0,2,-18.0
Ca,2p,core,2,1,6,-14.0
Ca,3s,core,3,0,2,-2.0
Ca,3p,core,3,1,6,-1.3
Ca,4s,valence,4,0,2,-0.22
Ca,4p,virtual,4,1,0,0.06
Ca,3d,virtual,3,2,0,0.04
Ar,1s,core,1,0,2,-118.0
Ar,2s,core,2,0,2,-12.0
Ar,2p,core,2,1,6,-9.0
Ar,3s,core,3,0,2,-1.1
Ar,3p,core,3,1,6,-0.58
Ar,4s,virtual,4,0,0,0.20
Ar,4p,virtual,4,1,0,0.28
Ar,3d,virtual,3,2,0,0.25
