mode,atom,alpha0_eft,alpha0_ref,err_alpha_pct,C6_eft,C6_ref,err_C6_pct
calibrated,Ar,11.1,11.1,0.0,64.3,64.3,0.0
calibrated,Ca,157.1,157.1,0.0,2221.00000002,2221.0,9.00485749301517e-10
calibrated,K,290.0,290.0,0.0,3897.00000002,3897.0,5.132098663583959e-10
calibrated,Mg,71.3,71.3,0.0,627.0,627.0,0.0
calibrated,Na,162.7,162.7,0.0,1555.99999998,1556.0,-1.2853480633458955e-09
spectral,Ar,11.1,11.1,0.0,115.47075637,64.3,79.58126962674963
spectral,Ca,157.1,157.1,0.0,5348.6579953,2221.0,140.82206192255742
spectral,K,290.0,290.0,0.0,13494.4322191,3897.0,246.27744981011034
spectral,Mg,71.3,71.3,0.0,1155.44579508,627.0,84.28162600956937
spectral,Na,162.7,162.7,0.0,3467.43516206,1556.0,122.84287673907455
