atom,channel,delta_Ha,osc,is_core,source
Mg,rpa_001,0.153276957784,0.501958278003,true,PySCF_TDDFT_PBE
Mg,rpa_002,0.153276957785,0.501958278005,true,PySCF_TDDFT_PBE
Mg,rpa_003,0.153276957785,0.501958278006,true,PySCF_TDDFT_PBE
Mg,rpa_005,0.192630352462,0.107262069443,true,PySCF_TDDFT_PBE
Mg,rpa_006,0.192630352463,0.107262069442,true,PySCF_TDDFT_PBE
Mg,rpa_007,0.192630352464,0.107262069443,true,PySCF_TDDFT_PBE
Mg,rpa_013,0.292340416083,0.029360886517,true,PySCF_TDDFT_PBE
Mg,rpa_014,0.292340416083,0.029360886517,true,PySCF_TDDFT_PBE
Mg,rpa_015,0.292340416083,0.029360886516,true,PySCF_TDDFT_PBE
Mg,rpa_029,0.693255983046,0.014914523409,true,PySCF_TDDFT_PBE
Mg,rpa_030,0.693255983046,0.014914523409,true,PySCF_TDDFT_PBE
Mg,rpa_031,0.693255983046,0.014914523409,true,PySCF_TDDFT_PBE
Mg,rpa_054,1.726125141619,0.003736740692,true,PySCF_TDDFT_PBE
Mg,rpa_055,1.726125141619,0.003736740692,true,PySCF_TDDFT_PBE
Mg,rpa_056,1.726125141619,0.003736740692,true,PySCF_TDDFT_PBE
Mg,rpa_078,1.786373656369,0.011776530386,true,PySCF_TDDFT_PBE
Mg,rpa_079,1.786373656369,0.011776530386,true,PySCF_TDDFT_PBE
Mg,rpa_080,1.786373656369,0.011776530386,true,PySCF_TDDFT_PBE
Mg,rpa_089,1.850649212376,0.015855030837,true,PySCF_TDDFT_PBE
Mg,rpa_090,1.850649212376,0.015855030837,true,PySCF_TDDFT_PBE
Mg,rpa_091,1.850649212376,0.015855030837,true,PySCF_TDDFT_PBE
Mg,rpa_126,2.008662005419,0.071149556368,true,PySCF_TDDFT_PBE
Mg,rpa_127,2.008662005419,0.071149556368,true,PySCF_TDDFT_PBE
Mg,rpa_128,2.008662005419,0.071149556368,true,PySCF_TDDFT_PBE
Mg,rpa_150,2.617455668871,0.410524857063,true,PySCF_TDDFT_PBE
Mg,rpa_151,2.617455668871,0.410524857063,true,PySCF_TDDFT_PBE
Mg,rpa_152,2.617455668871,0.410524857063,true,PySCF_TDDFT_PBE
Mg,rpa_174,2.779317008608,0.054326090048,true,PySCF_TDDFT_PBE
Mg,rpa_175,2.779317008608,0.054326090048,true,PySCF_TDDFT_PBE
Mg,rpa_176,2.779317008609,0.054326090048,true,PySCF_TDDFT_PBE
Mg,rpa_177,2.885724589574,0.006921951574,true,PySCF_TDDFT_PBE
Mg,rpa_178,2.885724589574,0.006921951574,true,PySCF_TDDFT_PBE
Mg,rpa_179,2.885724589574,0.006921951574,true,PySCF_TDDFT_PBE
Mg,rpa_181,2.946637715464,0.002350676466,true,PySCF_TDDFT_PBE
Mg,rpa_182,2.946637715464,0.002350676466,true,PySCF_TDDFT_PBE
Mg,rpa_183,2.946637715464,0.002350676466,true,PySCF_TDDFT_PBE
Mg,rpa_189,3.043211607658,0.004451931732,true,PySCF_TDDFT_PBE
Mg,rpa_190,3.043211607658,0.004451931732,true,PySCF_TDDFT_PBE
Mg,rpa_191,3.043211607658,0.004451931732,true,PySCF_TDDFT_PBE
