basis,nstates,alpha0,C6,alpha0_err,C6_err,n_channels,status,note
cc-pVTZ,50,6.56657535,34.68069001,-40.84166351351351,-46.06424570762053,11,ok,
cc-pVTZ,100,6.62897021,35.66053426,-40.27954765765765,-44.540382177293935,18,ok,
cc-pVTZ,150,6.64693763,36.01620176,-40.11767900900901,-43.98724454121306,27,ok,
cc-pVTZ,200,6.65001666,36.07914603,-40.08994,-43.88935298600311,36,ok,
aug-cc-pVTZ,50,10.12422009,48.62672072,-8.79081,-24.375239937791594,9,ok,
aug-cc-pVTZ,100,11.41971939,67.19975462,2.8803548648648603,4.509727247278376,18,ok,
aug-cc-pVTZ,150,11.45642492,67.93773742,3.2110353153153177,5.657445443234849,24,ok,
aug-cc-pVTZ,200,11.46103015,68.04089537,3.2525238738738693,5.8178777138413755,33,ok,
aug-cc-pVQZ,50,8.9085701,32.99704889,-19.742611711711707,-48.682661135303256,8,ok,
aug-cc-pVQZ,100,11.77089102,67.88284499,6.044063243243251,5.572076189735611,18,ok,
aug-cc-pVQZ,150,11.77098087,67.88446579,6.044872702702713,5.574596874027987,21,ok,
aug-cc-pVQZ,200,11.81808198,68.79096934,6.469207027027036,6.984400217729404,27,ok,
