atom,xc,basis,nstates,method,alpha0,C6,alpha0_ref,alpha0_err,C6_ref,C6_err,n_channels
Ar,lda,aug-cc-pVTZ,50,TDDFT,10.12422009,48.62672072,11.1,-8.79081,64.3,-24.375239937791594,9
Ne,lda,aug-cc-pVQZ,200,TDDFT,2.87965433,7.0935314,2.67,7.852222097378285,6.38,11.183877742946708,27
Kr,lda,aug-cc-pVQZ,200,TDDFT,17.68995629,134.09300618,16.8,5.297358869047622,129.6,3.4668257561728466,27
Mg,lda,aug-cc-pVQZ,200,TDDFT,70.89016348,610.09573199,71.3,-0.5748057784011206,627.0,-2.6960555039872425,30
Ca,lda,cc-pVQZ,200,TDDFT,148.44964948,1982.77001676,157.1,-5.506270222788027,2221.0,-10.726248682575413,32
Ne,pbe,aug-cc-pVQZ,200,TDDFT,2.87735761,7.07197153,2.67,7.766202621722841,6.38,10.845948746081504,27
Ar,pbe,aug-cc-pVQZ,200,TDDFT,11.73567883,68.2300505,11.1,5.726836306306304,64.3,6.112053654743402,27
Kr,pbe,aug-cc-pVQZ,200,TDDFT,17.71135252,134.64958004,16.8,5.424717380952367,129.6,3.8962808950617247,27
Ca,pbe,cc-pVQZ,200,TDDFT,159.60426185,2206.75882541,157.1,1.594055919796312,2221.0,-0.6412055195857677,32
Ar,lda,aug-cc-pVQZ,200,TDDFT,11.81808198,68.79096934,11.1,6.469207027027036,64.3,6.984400217729404,27
Mg,pbe,aug-cc-pVQZ,100,TDDFT,73.56112516,644.92232877,71.3,3.17128353436186,627.0,2.858425641148331,18
Mg,pbe,aug-cc-pVQZ,150,TDDFT,73.57495971,645.37146889,71.3,3.1906868302945366,627.0,2.930058834130775,24
Mg,pbe,aug-cc-pVTZ,200,TDDFT,74.17958192,661.15486234,71.3,4.038684319775606,627.0,5.447346465709733,39
Mg,pbe,aug-cc-pVQZ,200,TDDFT,73.64242187,647.5881004,71.3,3.28530416549791,627.0,3.2835885805422698,30
Be,pbe,aug-cc-pVQZ,100,TDDFT,42.87075839,256.41610946,,,,,24
Be,lda,aug-cc-pVQZ,100,TDDFT,43.74256216,262.92582704,,,,,24
