atom,xc,basis,nstates,KS_alpha0,KS_C6,KS_alpha0_err,KS_C6_err,HF_TDHF_alpha0,HF_TDHF_C6,HF_TDHF_alpha0_err,HF_TDHF_C6_err,delta_alpha0_KS_minus_HF,delta_C6_KS_minus_HF
Ne,lda,aug-cc-pVQZ,200,2.87965433,7.0935314,7.852222097378285,11.183877742946708,2.32674262,5.45025099,-12.856081647940071,-14.572868495297808,0.5529117100000001,1.64328041
Ne,pbe,aug-cc-pVQZ,200,2.87735761,7.07197153,7.766202621722841,10.845948746081504,2.32674262,5.45025099,-12.856081647940071,-14.572868495297808,0.5506149899999997,1.62172054
Ar,lda,aug-cc-pVQZ,200,11.81808198,68.79096934,6.469207027027036,6.984400217729404,10.6494114,60.73027908,-4.059356756756754,-5.551665505443227,1.1686705800000006,8.060690260000001
Ar,pbe,aug-cc-pVQZ,200,11.73567883,68.2300505,5.726836306306304,6.112053654743402,10.6494114,60.73027908,-4.059356756756754,-5.551665505443227,1.0862674299999995,7.499771420000002
Kr,lda,aug-cc-pVQZ,200,17.68995629,134.09300618,5.297358869047622,3.4668257561728466,16.24844146,121.85826194,-3.28308654761906,-5.973563317901226,1.4415148300000027,12.234744239999998
Kr,pbe,aug-cc-pVQZ,200,17.71135252,134.64958004,5.424717380952367,3.8962808950617247,16.24844146,121.85826194,-3.28308654761906,-5.973563317901226,1.4629110599999997,12.791318099999984
Mg,lda,aug-cc-pVQZ,200,70.89016348,610.09573199,-0.5748057784011206,-2.6960555039872425,81.24115253,757.83551633,13.94271042075736,20.866908505582142,-10.350989049999995,-147.73978434000003
Mg,pbe,aug-cc-pVQZ,200,73.64242187,647.5881004,3.28530416549791,3.2835885805422698,81.24115253,757.83551633,13.94271042075736,20.866908505582142,-7.598730659999987,-110.24741592999999
Ca,lda,cc-pVQZ,200,148.44964948,1982.77001676,-5.506270222788027,-10.726248682575413,185.07378974,2759.50968183,17.80635884150223,24.246271131472305,-36.62414025999999,-776.7396650699998
Ca,pbe,cc-pVQZ,200,159.60426185,2206.75882541,1.594055919796312,-0.6412055195857677,185.07378974,2759.50968183,17.80635884150223,24.246271131472305,-25.469527889999995,-552.7508564199998
