atom,partition,C6_all_e,C6_psp,delta_C6_missing,relative_missing_pct,status
Ne,gth-lda/gth-dzvp/lda,7.0935314,0.78041871,6.31311269,88.99816373548441,ok
Ar,gth-lda/gth-dzvp/lda,68.79096934,16.82132287,51.96964647,75.5471931397558,ok
Mg,gth-lda/gth-dzvp/lda,610.09573199,441.20029091,168.89544108,27.683432652298634,ok
Kr,gth-lda/gth-dzvp/lda,134.09300618,,,,unavailable
Ca,gth-lda/gth-dzvp/lda,1982.77001676,,,,unavailable
Ne,gth-lda/gth-qzv2p/lda,7.0935314,2.6915207,4.4020107,62.05668871783665,ok
Ar,gth-lda/gth-qzv2p/lda,68.79096934,41.38796713,27.403002210000004,39.83517382137823,ok
Mg,gth-lda/gth-qzv2p/lda,610.09573199,603.24727147,6.848460520000003,1.122522279849723,ok
Kr,gth-lda/gth-dzvp-molopt-sr/lda,134.09300618,4.29193875,129.80106743,96.79928217565745,ok
Ca,gth-lda/gth-dzvp-molopt-sr/lda,1982.77001676,1110.27310668,872.4969100800001,44.00393907033796,ok
Kr,GTH-PBE-q8/TZV2P-MOLOPT-PBE-GTH-q8/pbe,134.64958004,66.35553987,68.29404016999999,50.71983154326368,ok
Ca,GTH-PBE-q10/TZV2P-MOLOPT-PBE-GTH-q10/pbe,2206.75882541,1424.67308291,782.0857425000002,35.440471948931446,ok
Ne,gth-pbe/gth-qzv2p/pbe,7.07197153,2.73194826,4.34002327,61.369354381436544,ok
Ar,gth-pbe/gth-qzv2p/pbe,68.2300505,41.83062218,26.399428320000005,38.691790679533504,ok
Mg,gth-pbe/gth-qzv2p/pbe,647.58810041,637.35175634,10.236344070000087,1.580687486925604,ok
Ca,GTH-LDA-q2/cc-pVQZ/lda,1982.77001676,1972.55991054,10.21010622000017,0.5149415279480711,ok
Mg,GTH-PBE-q2/TZV2P-MOLOPT-SR-GTH-q2/pbe,647.58810041,638.62015545,8.967944960000068,1.3848223823634647,ok
