basis,nstates,n_channels,sum_osc,sum_osc_over_N,alpha0,C6,alpha0_err,C6_err
aug-cc-pVTZ,20,3,0.5124032988685259,0.028466849937140326,2.2064363,1.75956094,-80.12219549549549,-97.2635133125972
aug-cc-pVTZ,50,9,4.710243839764564,0.26168021332025354,9.30038915,44.68880428,-16.21271036036035,-30.499526780715396
aug-cc-pVTZ,100,18,6.72874358949814,0.3738190883054522,10.38202084,59.74814622,-6.468280720720725,-7.079088304821142
aug-cc-pVTZ,150,24,7.134911722435372,0.3963839845797429,10.41658799,60.41731443,-6.156864954954951,-6.038391244167963
aug-cc-pVTZ,200,33,7.52602099662929,0.4181122775905161,10.42239097,60.54447539,-6.1045858558558495,-5.840629253499214
aug-cc-pVQZ,20,3,0.46984643924076974,0.026102579957820542,2.12335328,1.59064264,-80.87069117117117,-97.52621673405909
aug-cc-pVQZ,50,8,3.557992327340438,0.19766624040780212,8.42035662,33.41463334,-24.14093135135135,-48.033229642301706
aug-cc-pVQZ,100,18,6.4069133887529315,0.3559396327084962,10.60784482,59.955616,-4.4338304504504435,-6.75642923794712
aug-cc-pVQZ,150,21,6.420217834271892,0.35667876857066066,10.61049218,60.00182079,-4.409980360360361,-6.684571088646969
aug-cc-pVQZ,200,27,6.767335340651663,0.375963074480648,10.6494114,60.73027908,-4.059356756756754,-5.551665505443227
