atom,channel,delta_Ha,d2,osc,is_core
Ar,1s_to_4p,118.720036537457,0.000007131150,0.001128813851,true
Ar,1s_to_5p,119.142743815235,0.000061015997,0.009692817732,true
Ar,1s_to_6p,120.579435726510,0.000249098155,0.040048153294,true
Ar,1s_to_7p,125.291540332520,0.000776024290,0.129639038173,true
Ar,2s_to_4p,12.431834698657,0.000312140956,0.005173979690,true
Ar,2s_to_5p,12.854541976435,0.002434229264,0.041721203006,true
Ar,2s_to_6p,14.291233887710,0.008650515065,0.164835378724,true
Ar,2s_to_7p,19.003338493720,0.017331074134,0.439131024304,true
Ar,3s_to_4p,1.386991130997,0.000401868553,0.000743184158,true
Ar,3s_to_5p,1.809698408775,0.021376956396,0.051581125299,true
Ar,3s_to_6p,3.246390320050,0.058895165835,0.254928928353,true
Ar,3s_to_7p,7.958494926060,0.024868425285,0.263886981933,true
Ar,2p_to_4s,9.691667128259,0.000145637166,0.005645867737,true
Ar,2p_to_5s,10.326667540086,0.000710546010,0.029350289669,true
Ar,2p_to_6s,11.801505498720,0.000028223291,0.001332309296,true
Ar,2p_to_7s,12.724705612020,0.001963300766,0.099929697101,true
Ar,2p_to_8s,15.216862445060,0.003417912094,0.208039592735,true
Ar,2p_to_9s,38.668692664810,0.001110371938,0.171746524857,true
Ar,2p_to_3d,9.885906209909,0.000989733727,0.039137659192,true
Ar,2p_to_4d,10.349633815588,0.010354818989,0.428674339051,true
Ar,2p_to_5d,11.615854752280,0.022034143697,1.023781651101,true
Ar,2p_to_6d,14.636888192040,0.036566667164,2.140888875340,true
Ar,3p_to_4s,0.711178840589,0.205319350447,0.584075110406,true
Ar,3p_to_5s,1.346179252416,0.135299963225,0.728552013385,true
Ar,3p_to_6s,2.821017211050,0.815491983504,9.202067683752,true
Ar,3p_to_7s,3.744217324350,0.015452465967,0.231429563110,true
Ar,3p_to_8s,6.236374157390,0.179134754642,4.468605418159,true
Ar,3p_to_9s,29.688204377140,0.000568245650,0.067480771974,true
Ar,3p_to_3d,0.905417922239,1.376988059203,4.986998670046,true
Ar,3p_to_4d,1.369145527918,0.799110860935,4.376396246239,true
Ar,3p_to_5d,2.635366464610,0.000027141028,0.000286106220,true
Ar,3p_to_6d,5.656399904370,0.027213445004,0.615720510873,true
