atom,orbital,r_bohr,R
Ar,1s,1e-05,148.098861129
Ar,1s,1.00635684521e-05,148.098857963
Ar,1s,1.01275409989e-05,148.098854757
Ar,1s,1.01919202094e-05,148.09885151
Ar,1s,1.02567086685e-05,148.098848221
Ar,1s,1.03219089778e-05,148.098844891
Ar,1s,1.03875237555e-05,148.098841518
Ar,1s,1.0453555636e-05,148.098838102
Ar,1s,1.05200072711e-05,148.098834643
Ar,1s,1.05868813289e-05,148.098831139
Ar,1s,1.06541804947e-05,148.098827591
Ar,1s,1.07219074709e-05,148.098823997
Ar,1s,1.0790064977e-05,148.098820358
Ar,1s,1.08586557498e-05,148.098816672
Ar,1s,1.09276825436e-05,148.098812939
Ar,1s,1.099714813e-05,148.098809159
Ar,1s,1.10670552984e-05,148.098805331
Ar,1s,1.11374068558e-05,148.098801453
Ar,1s,1.12082056272e-05,148.098797526
Ar,1s,1.12794544554e-05,148.098793549
Ar,1s,1.13511562014e-05,148.098789522
Ar,1s,1.14233137442e-05,148.098785443
Ar,1s,1.14959299815e-05,148.098781312
Ar,1s,1.15690078289e-05,148.098777128
Ar,1s,1.16425502208e-05,148.098772891
Ar,1s,1.17165601104e-05,148.0987686
Ar,1s,1.17910404694e-05,148.098764254
Ar,1s,1.18659942884e-05,148.098759853
Ar,1s,1.19414245773e-05,148.098755395
Ar,1s,1.20173343649e-05,148.098750881
Ar,1s,1.20937266993e-05,148.098746309
Ar,1s,1.21706046479e-05,148.098741679
Ar,1s,1.22479712977e-05,148.09873699
Ar,1s,1.23258297553e-05,148.098732241
Ar,1s,1.24041831471e-05,148.098727432
Ar,1s,1.24830346193e-05,148.098722561
Ar,1s,1.25623873381e-05,148.098717628
Ar,1s,1.26422444898e-05,148.098712632
Ar,1s,1.27226092811e-05,148.098707573
Ar,1s,1.28034849389e-05,148.098702449
Ar,1s,1.28848747108e-05,148.098697259
Ar,1s,1.29667818648e-05,148.098692004
Ar,1s,1.30492096899e-05,148.098686681
Ar,1s,1.3132161496e-05,148.09868129
Ar,1s,1.32156406139e-05,148.098675831
Ar,1s,1.32996503956e-05,148.098670302
Ar,1s,1.33841942144e-05,148.098664703
Ar,1s,1.34692754652e-05,148.098659032
Ar,1s,1.35548975644e-05,148.098653289
Ar,1s,1.364106395e-05,148.098647473
Ar,1s,1.3727778082e-05,148.098641582
Ar,1s,1.38150434423e-05,148.098635617
Ar,1s,1.3902863535e-05,148.098629575
Ar,1s,1.39912418864e-05,148.098623456
Ar,1s,1.40801820453e-05,148.098617259
Ar,1s,1.41696875831e-05,148.098610984
Ar,1s,1.42597620936e-05,148.098604628
Ar,1s,1.4350409194e-05,148.098598191
Ar,1s,1.44416325238e-05,148.098591672
Ar,1s,1.45334357463e-05,148.09858507
Ar,1s,1.46258225477e-05,148.098578383
Ar,1s,1.47187966376e-05,148.098571612
Ar,1s,1.48123617495e-05,148.098564754
Ar,1s,1.49065216403e-05,148.098557809
Ar,1s,1.50012800909e-05,148.098550775
Ar,1s,1.50966409063e-05,148.098543651
Ar,1s,1.51926079157e-05,148.098536437
