atom,orbital,type,n,l,occupation,energy_Ha
Ar,1s,core,1,0,2,-118.610475851
Ar,2s,core,2,0,2,-12.3222740122
Ar,3s,core,3,0,2,-1.27743044454
Ar,4s,virtual,4,0,0,0.120103648649
Ar,5s,virtual,5,0,0,0.755104060476
Ar,6s,virtual,6,0,0,2.22994201911
Ar,7s,virtual,7,0,0,3.15314213241
Ar,8s,virtual,8,0,0,5.64529896545
Ar,9s,virtual,9,0,0,29.0971291852
Ar,2p,core,2,1,6,-9.57156347961
Ar,3p,core,3,1,6,-0.59107519194
Ar,4p,virtual,4,1,0,0.109560686457
Ar,5p,virtual,5,1,0,0.532267964235
Ar,6p,virtual,6,1,0,1.96895987551
Ar,7p,virtual,7,1,0,6.68106448152
Ar,3d,virtual,3,2,0,0.314342730299
Ar,4d,virtual,4,2,0,0.778070335978
Ar,5d,virtual,5,2,0,2.04429127267
Ar,6d,virtual,6,2,0,5.06532471243
Ar,4f,virtual,4,3,0,1.06056364193
Ar,5f,virtual,5,3,0,2.60728740996
Ar,6f,virtual,6,3,0,5.77911969053
