atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Ar,3p_to_3d,0.905417922239,4.986998670046,6.083325833877314,0.535851337499725,25.1300011004707,0.23050118916527934,51.711122430669626,0.4743125623308246,False
Ar,3p_to_4d,1.369145527918,4.376396246239,2.3346265086958113,0.2056461829284605,5.596876197976204,0.05133651264425127,24.629276775445376,0.22590836993296515,False
Ar,3p_to_6s,2.82101721105,9.202067683752,1.1563091218439439,0.10185378959198223,2.8288824579487626,0.025947502666594575,16.277743725916658,0.14930517793256987,False
Ar,3p_to_4s,0.711178840589,0.584075110406,1.1548113567446245,0.10172185856384935,0.7113153529674386,0.006524434044988719,8.50260680151643,0.07798889347114354,False
Ar,3p_to_5s,1.346179252416,0.728552013385,0.40202658890264603,0.03541261659440476,0.16318254808209692,0.0014967675979623888,4.207045904326237,0.03858850144666138,False
Ar,3p_to_8s,6.23637415739,4.468605418159,0.11489673333966054,0.010120708624802558,0.061745994407901524,0.0005663559297236722,1.9841715402101479,0.018199517687954914,False
Ar,3s_to_6p,3.24639032005,0.254928928353,0.02418898531551191,0.0021306930596904916,0.0014246143015394456,1.306706232498157e-05,0.3558071490619985,0.0032635880374379408,False
Ar,3p_to_6d,5.65639990437,0.615720510873,0.019244357162925274,0.0016951442034633404,0.0015711157658722798,1.4410825168769925e-05,0.32580572695751153,0.002988404465257189,False
Ar,3p_to_7s,3.74421732435,0.23142956311,0.01650808660756765,0.0014541191002732047,0.0007652719394502579,7.019342791624474e-06,0.2529818657768961,0.002320438453850024,False
Ar,3s_to_5p,1.809698408775,0.051581125299,0.015749921859776295,0.0013873359613713386,0.0003366853928364651,3.0881965787868915e-06,0.18814829989842877,0.0017257622350522349,False
Ar,2p_to_6d,14.63688819204,2.14088887534,0.009993016735315509,0.0008802374769169636,0.0010962339507736814,1.0055042506621815e-05,0.19557660040393543,0.001793897214161498,False
Ar,2p_to_5d,11.61585475228,1.023781651101,0.007587609923472167,0.0006683565925856906,0.0005015594621117724,4.600479402752432e-06,0.14462173852127502,0.0013265213389775613,False
Ar,3s_to_7p,7.95849492606,0.263886981933,0.004166353146927404,0.000366994300033126,0.00010361064194527636,9.50353168831212e-07,0.07518983365278895,0.0006896675412315348,False
Ar,2p_to_4d,10.349633815588,0.428674339051,0.00400200400265169,0.00035251756293536217,0.00012432008112202316,1.1403074126890345e-06,0.0751378474750041,0.0006891907057649681,False
Ar,2s_to_7p,19.00333849372,0.439131024304,0.0012160020647402976,0.00010711185798479733,2.1074621931101246e-05,1.933038282372588e-07,0.02439191725808591,0.00022373122514127513,False
Ar,2p_to_8s,15.21686244506,0.208039592735,0.000898453832080883,7.914053936108857e-05,9.212508655717712e-06,8.450036240939868e-08,0.017654361052662805,0.00016193199516078606,False
Ar,2s_to_6p,14.29123388771,0.164835378724,0.0008070695768668834,7.109093348429352e-05,6.9815675331860195e-06,6.403738751157241e-08,0.01575567073935488,0.0001445165412845872,False
Ar,2p_to_7s,12.72470561202,0.099929697101,0.000617161866330045,5.436286343320841e-05,3.6350230947421072e-06,3.3341707492627835e-08,0.011893434777349035,0.00010909075763579227,False
Ar,2p_to_3d,9.885906209909,0.039137659192,0.0004004625194673585,3.5274845131601645e-05,1.189053785760185e-06,1.0906418607123191e-08,0.0074710322681403405,6.852692983233762e-05,False
Ar,3s_to_4p,1.386991130997,0.000743184158,0.00038632167505183205,3.402924517520316e-05,1.5525053245158435e-07,1.4240123669538041e-09,0.004100653503535602,3.761263300947572e-05,False
Ar,2p_to_5s,10.326667540086,0.029350289669,0.0002752276113261905,2.4243495691894244e-05,5.866856432125978e-07,5.381286609819035e-09,0.005165846928772881,4.738296092257839e-05,False
Ar,2s_to_5p,12.854541976435,0.041721203006,0.00025248966665881057,2.2240617924907288e-05,6.146177354413435e-07,5.637489562173046e-09,0.004871509184243205,4.468319183545942e-05,False
Ar,2p_to_9s,38.66869266481,0.171746524857,0.00011486004428725147,1.0117476860083411e-05,3.826121099228852e-07,3.5094525453327464e-09,0.0024109519343389666,2.2114097236352815e-05,False
