atom,from_orbital,to_orbital,d2
Ar,1s,4p,0.000007131150
Ar,1s,5p,0.000061015997
Ar,1s,6p,0.000249098155
Ar,1s,7p,0.000776024290
Ar,2s,4p,0.000312140956
Ar,2s,5p,0.002434229264
Ar,2s,6p,0.008650515065
Ar,2s,7p,0.017331074134
Ar,3s,4p,0.000401868553
Ar,3s,5p,0.021376956396
Ar,3s,6p,0.058895165835
Ar,3s,7p,0.024868425285
Ar,2p,4s,0.000145637166
Ar,2p,5s,0.000710546010
Ar,2p,6s,0.000028223291
Ar,2p,7s,0.001963300766
Ar,2p,8s,0.003417912094
Ar,2p,9s,0.001110371938
Ar,2p,3d,0.000989733727
Ar,2p,4d,0.010354818989
Ar,2p,5d,0.022034143697
Ar,2p,6d,0.036566667164
Ar,3p,4s,0.205319350447
Ar,3p,5s,0.135299963225
Ar,3p,6s,0.815491983504
Ar,3p,7s,0.015452465967
Ar,3p,8s,0.179134754642
Ar,3p,9s,0.000568245650
Ar,3p,3d,1.376988059203
Ar,3p,4d,0.799110860935
Ar,3p,5d,0.000027141028
Ar,3p,6d,0.027213445004
