atom,orbital,r_bohr,u
Ar,1s,1e-05,0.00148098365566
Ar,1s,1.00635684521e-05,0.00149039800766
Ar,1s,1.01275409989e-05,0.00149987220461
Ar,1s,1.01919202094e-05,0.00150940662696
Ar,1s,1.02567086685e-05,0.0015190016575
Ar,1s,1.03219089778e-05,0.00152865768153
Ar,1s,1.03875237555e-05,0.00153837508676
Ar,1s,1.0453555636e-05,0.00154815426334
Ar,1s,1.05200072711e-05,0.00155799560396
Ar,1s,1.05868813289e-05,0.00156789950376
Ar,1s,1.06541804947e-05,0.0015778663604
Ar,1s,1.07219074709e-05,0.00158789657407
Ar,1s,1.0790064977e-05,0.00159799054753
Ar,1s,1.08586557498e-05,0.00160814868605
Ar,1s,1.09276825436e-05,0.00161837139753
Ar,1s,1.099714813e-05,0.00162865909243
Ar,1s,1.10670552984e-05,0.00163901218381
Ar,1s,1.11374068558e-05,0.00164943108736
Ar,1s,1.12082056272e-05,0.00165991622145
Ar,1s,1.12794544554e-05,0.00167046800706
Ar,1s,1.13511562014e-05,0.0016810868679
Ar,1s,1.14233137442e-05,0.00169177323029
Ar,1s,1.14959299815e-05,0.00170252752336
Ar,1s,1.15690078289e-05,0.00171335017888
Ar,1s,1.16425502208e-05,0.00172424163141
Ar,1s,1.17165601104e-05,0.00173520231829
Ar,1s,1.17910404694e-05,0.00174623267959
Ar,1s,1.18659942884e-05,0.0017573331582
Ar,1s,1.19414245773e-05,0.00176850419982
Ar,1s,1.20173343649e-05,0.00177974625302
Ar,1s,1.20937266993e-05,0.00179105976918
Ar,1s,1.21706046479e-05,0.00180244520254
Ar,1s,1.22479712977e-05,0.00181390301025
Ar,1s,1.23258297553e-05,0.00182543365236
Ar,1s,1.24041831471e-05,0.00183703759188
Ar,1s,1.24830346193e-05,0.00184871529468
Ar,1s,1.25623873381e-05,0.00186046722968
Ar,1s,1.26422444898e-05,0.0018722938687
Ar,1s,1.27226092811e-05,0.00188419568664
Ar,1s,1.28034849389e-05,0.00189617316136
Ar,1s,1.28848747108e-05,0.00190822677376
Ar,1s,1.29667818648e-05,0.00192035700783
Ar,1s,1.30492096899e-05,0.00193256435061
Ar,1s,1.3132161496e-05,0.00194484929225
Ar,1s,1.32156406139e-05,0.00195721232601
Ar,1s,1.32996503956e-05,0.00196965394827
Ar,1s,1.33841942144e-05,0.00198217465858
