atom,orbital,r_bohr,R
Ar,1s,1e-05,147.848372371
Ar,1s,1.00635684521e-05,147.848369982
Ar,1s,1.01275409989e-05,147.848367563
Ar,1s,1.01919202094e-05,147.848365113
Ar,1s,1.02567086685e-05,147.848362631
Ar,1s,1.03219089778e-05,147.848360118
Ar,1s,1.03875237555e-05,147.848357573
Ar,1s,1.0453555636e-05,147.848354995
Ar,1s,1.05200072711e-05,147.848352385
Ar,1s,1.05868813289e-05,147.848349741
Ar,1s,1.06541804947e-05,147.848347063
Ar,1s,1.07219074709e-05,147.848344352
Ar,1s,1.0790064977e-05,147.848341605
Ar,1s,1.08586557498e-05,147.848338824
Ar,1s,1.09276825436e-05,147.848336007
Ar,1s,1.099714813e-05,147.848333155
Ar,1s,1.10670552984e-05,147.848330266
Ar,1s,1.11374068558e-05,147.84832734
Ar,1s,1.12082056272e-05,147.848324376
Ar,1s,1.12794544554e-05,147.848321375
Ar,1s,1.13511562014e-05,147.848318336
Ar,1s,1.14233137442e-05,147.848315258
Ar,1s,1.14959299815e-05,147.848312141
Ar,1s,1.15690078289e-05,147.848308984
Ar,1s,1.16425502208e-05,147.848305787
Ar,1s,1.17165601104e-05,147.848302548
Ar,1s,1.17910404694e-05,147.848299269
Ar,1s,1.18659942884e-05,147.848295948
Ar,1s,1.19414245773e-05,147.848292584
Ar,1s,1.20173343649e-05,147.848289178
Ar,1s,1.20937266993e-05,147.848285728
Ar,1s,1.21706046479e-05,147.848282234
Ar,1s,1.22479712977e-05,147.848278696
Ar,1s,1.23258297553e-05,147.848275112
Ar,1s,1.24041831471e-05,147.848271483
Ar,1s,1.24830346193e-05,147.848267807
Ar,1s,1.25623873381e-05,147.848264085
Ar,1s,1.26422444898e-05,147.848260315
Ar,1s,1.27226092811e-05,147.848256497
Ar,1s,1.28034849389e-05,147.84825263
Ar,1s,1.28848747108e-05,147.848248714
Ar,1s,1.29667818648e-05,147.848244748
Ar,1s,1.30492096899e-05,147.848240731
Ar,1s,1.3132161496e-05,147.848236664
Ar,1s,1.32156406139e-05,147.848232544
Ar,1s,1.32996503956e-05,147.848228372
Ar,1s,1.33841942144e-05,147.848224146
Ar,1s,1.34692754652e-05,147.848219867
Ar,1s,1.35548975644e-05,147.848215533
Ar,1s,1.364106395e-05,147.848211144
Ar,1s,1.3727778082e-05,147.848206699
Ar,1s,1.38150434423e-05,147.848202197
Ar,1s,1.3902863535e-05,147.848197638
Ar,1s,1.39912418864e-05,147.848193021
Ar,1s,1.40801820453e-05,147.848188345
Ar,1s,1.41696875831e-05,147.848183609
Ar,1s,1.42597620936e-05,147.848178812
Ar,1s,1.4350409194e-05,147.848173955
Ar,1s,1.44416325238e-05,147.848169036
Ar,1s,1.45334357463e-05,147.848164054
Ar,1s,1.46258225477e-05,147.848159008
Ar,1s,1.47187966376e-05,147.848153898
Ar,1s,1.48123617495e-05,147.848148723
Ar,1s,1.49065216403e-05,147.848143482
Ar,1s,1.50012800909e-05,147.848138174
Ar,1s,1.50966409063e-05,147.848132798
Ar,1s,1.51926079157e-05,147.848127354
Ar,1s,1.52891849725e-05,147.84812184
Ar,1s,1.53863759547e-05,147.848116256
Ar,1s,1.5484184765e-05,147.848110601
Ar,1s,1.55826153306e-05,147.848104873
Ar,1s,1.56816716042e-05,147.848099073
Ar,1s,1.57813575632e-05,147.848093199
Ar,1s,1.58816772104e-05,147.848087249
Ar,1s,1.5982634574e-05,147.848081224
Ar,1s,1.6084233708e-05,147.848075122
Ar,1s,1.61864786919e-05,147.848068943
Ar,1s,1.62893736314e-05,147.848062684
Ar,1s,1.63929226581e-05,147.848056346
Ar,1s,1.64971299299e-05,147.848049926
Ar,1s,1.66019996312e-05,147.848043425
Ar,1s,1.6707535973e-05,147.848036841
Ar,1s,1.68137431929e-05,147.848030173
Ar,1s,1.69206255558e-05,147.84802342
Ar,1s,1.70281873532e-05,147.848016581
Ar,1s,1.71364329044e-05,147.848009655
Ar,1s,1.72453665557e-05,147.84800264
Ar,1s,1.73549926815e-05,147.847995536
Ar,1s,1.74653156835e-05,147.847988341
Ar,1s,1.75763399918e-05,147.847981055
Ar,1s,1.76880700644e-05,147.847973675
Ar,1s,1.78005103878e-05,147.847966202
Ar,1s,1.79136654769e-05,147.847958633
Ar,1s,1.80275398754e-05,147.847950968
Ar,1s,1.81421381559e-05,147.847943205
Ar,1s,1.82574649198e-05,147.847935343
Ar,1s,1.83735247982e-05,147.84792738
Ar,1s,1.84903224512e-05,147.847919316
Ar,1s,1.86078625689e-05,147.84791115
Ar,1s,1.87261498708e-05,147.847902879
Ar,1s,1.88451891069e-05,147.847894502
Ar,1s,1.89649850569e-05,147.847886019
Ar,1s,1.90855425313e-05,147.847877428
Ar,1s,1.92068663708e-05,147.847868727
Ar,1s,1.93289614472e-05,147.847859915
Ar,1s,1.94518326632e-05,147.847850991
Ar,1s,1.95754849524e-05,147.847841953
Ar,1s,1.96999232801e-05,147.8478328
Ar,1s,1.98251526429e-05,147.84782353
Ar,1s,1.99511780695e-05,147.847814142
Ar,1s,2.00780046201e-05,147.847804634
Ar,1s,2.02056373876e-05,147.847795004
Ar,1s,2.03340814967e-05,147.847785252
Ar,1s,2.04633421052e-05,147.847775376
Ar,1s,2.05934244034e-05,147.847765374
Ar,1s,2.07243336146e-05,147.847755244
Ar,1s,2.08560749954e-05,147.847744985
Ar,1s,2.09886538357e-05,147.847734595
Ar,1s,2.11220754593e-05,147.847724073
Ar,1s,2.12563452234e-05,147.847713416
Ar,1s,2.13914685196e-05,147.847702624
Ar,1s,2.15274507738e-05,147.847691694
Ar,1s,2.1664297446e-05,147.847680625
Ar,1s,2.18020140314e-05,147.847669414
Ar,1s,2.19406060598e-05,147.847658061
Ar,1s,2.20800790962e-05,147.847646562
Ar,1s,2.22204387412e-05,147.847634918
Ar,1s,2.23616906307e-05,147.847623124
Ar,1s,2.25038404366e-05,147.84761118
Ar,1s,2.26468938668e-05,147.847599084
Ar,1s,2.27908566655e-05,147.847586834
Ar,1s,2.29357346134e-05,147.847574427
Ar,1s,2.30815335281e-05,147.847561863
Ar,1s,2.32282592638e-05,147.847549138
Ar,1s,2.33759177124e-05,147.847536251
Ar,1s,2.35245148028e-05,147.847523199
Ar,1s,2.3674056502e-05,147.847509981
Ar,1s,2.38245488146e-05,147.847496595
Ar,1s,2.39759977835e-05,147.847483037
Ar,1s,2.41284094901e-05,147.847469307
Ar,1s,2.42817900543e-05,147.847455402
Ar,1s,2.4436145635e-05,147.84744132
Ar,1s,2.45914824302e-05,147.847427058
Ar,1s,2.47478066775e-05,147.847412614
Ar,1s,2.49051246537e-05,147.847397986
Ar,1s,2.5063442676e-05,147.847383171
Ar,1s,2.52227671014e-05,147.847368168
Ar,1s,2.53831043275e-05,147.847352973
Ar,1s,2.55444607926e-05,147.847337584
Ar,1s,2.57068429757e-05,147.847322
Ar,1s,2.58702573973e-05,147.847306216
Ar,1s,2.6034710619e-05,147.847290232
Ar,1s,2.62002092444e-05,147.847274043
Ar,1s,2.63667599189e-05,147.847257648
Ar,1s,2.65343693303e-05,147.847241044
Ar,1s,2.67030442088e-05,147.847224228
Ar,1s,2.68727913274e-05,147.847207198
Ar,1s,2.70436175021e-05,147.847189951
Ar,1s,2.72155295924e-05,147.847172484
Ar,1s,2.73885345012e-05,147.847154794
Ar,1s,2.75626391755e-05,147.847136878
Ar,1s,2.77378506062e-05,147.847118735
Ar,1s,2.79141758289e-05,147.847100359
Ar,1s,2.80916219237e-05,147.84708175
Ar,1s,2.82701960158e-05,147.847062903
Ar,1s,2.84499052759e-05,147.847043816
Ar,1s,2.86307569198e-05,147.847024486
Ar,1s,2.88127582097e-05,147.847004909
Ar,1s,2.89959164536e-05,147.846985082
Ar,1s,2.91802390061e-05,147.846965003
Ar,1s,2.93657332686e-05,147.846944668
Ar,1s,2.95524066894e-05,147.846924073
Ar,1s,2.97402667642e-05,147.846903216
Ar,1s,2.99293210364e-05,147.846882093
Ar,1s,3.01195770973e-05,147.8468607
Ar,1s,3.03110425866e-05,147.846839035
Ar,1s,3.05037251924e-05,147.846817094
Ar,1s,3.06976326517e-05,147.846794873
Ar,1s,3.08927727506e-05,147.846772368
Ar,1s,3.1089153325e-05,147.846749577
Ar,1s,3.12867822603e-05,147.846726495
Ar,1s,3.14856674921e-05,147.846703119
Ar,1s,3.16858170066e-05,147.846679445
Ar,1s,3.18872388405e-05,147.846655469
Ar,1s,3.20899410819e-05,147.846631187
Ar,1s,3.229393187e-05,147.846606596
Ar,1s,3.2499219396e-05,147.846581691
Ar,1s,3.27058119031e-05,147.846556469
Ar,1s,3.29137176867e-05,147.846530925
Ar,1s,3.31229450952e-05,147.846505055
Ar,1s,3.33335025299e-05,147.846478856
Ar,1s,3.35453984457e-05,147.846452323
Ar,1s,3.3758641351e-05,147.846425451
Ar,1s,3.39732398084e-05,147.846398237
Ar,1s,3.41892024351e-05,147.846370676
Ar,1s,3.44065379027e-05,147.846342763
Ar,1s,3.46252549382e-05,147.846314495
Ar,1s,3.48453623241e-05,147.846285867
Ar,1s,3.50668688985e-05,147.846256873
Ar,1s,3.5289783556e-05,147.84622751
Ar,1s,3.55141152474e-05,147.846197772
Ar,1s,3.57398729807e-05,147.846167656
Ar,1s,3.59670658209e-05,147.846137155
Ar,1s,3.61957028909e-05,147.846106266
Ar,1s,3.64257933713e-05,147.846074983
Ar,1s,3.66573465013e-05,147.846043301
Ar,1s,3.68903715787e-05,147.846011215
Ar,1s,3.71248779604e-05,147.84597872
Ar,1s,3.73608750629e-05,147.845945811
Ar,1s,3.75983723624e-05,147.845912483
Ar,1s,3.78373793956e-05,147.845878729
Ar,1s,3.80779057594e-05,147.845844546
Ar,1s,3.83199611121e-05,147.845809926
Ar,1s,3.85635551732e-05,147.845774866
Ar,1s,3.8808697724e-05,147.845739358
Ar,1s,3.90553986081e-05,147.845703398
Ar,1s,3.93036677316e-05,147.845666979
Ar,1s,3.95535150634e-05,147.845630097
Ar,1s,3.9804950636e-05,147.845592744
Ar,1s,4.00579845456e-05,147.845554915
Ar,1s,4.03126269527e-05,147.845516604
Ar,1s,4.05688880821e-05,147.845477804
Ar,1s,4.08267782238e-05,147.84543851
Ar,1s,4.10863077332e-05,147.845398715
Ar,1s,4.13474870316e-05,147.845358413
Ar,1s,4.16103266063e-05,147.845317598
Ar,1s,4.18748370116e-05,147.845276262
Ar,1s,4.21410288685e-05,147.845234399
Ar,1s,4.24089128658e-05,147.845192003
Ar,1s,4.26784997603e-05,147.845149066
Ar,1s,4.29498003769e-05,147.845105582
Ar,1s,4.32228256096e-05,147.845061544
