atom,from_orbital,to_orbital,d2
Ar,1s,4p,0.000010815976
Ar,1s,5p,0.000082030551
Ar,1s,6p,0.000632682746
Ar,2s,4p,0.000461928047
Ar,2s,5p,0.003491730833
Ar,2s,6p,0.016684164962
Ar,3s,4p,0.000633843167
Ar,3s,5p,0.035974132723
Ar,3s,6p,0.063954536028
Ar,2p,4s,0.000179472491
Ar,2p,5s,0.001207241062
Ar,2p,6s,0.002221957259
Ar,2p,3d,0.002317051957
Ar,2p,4d,0.010467258180
Ar,2p,5d,0.030235756146
Ar,3p,4s,0.239183010292
Ar,3p,5s,0.113820832326
Ar,3p,6s,0.004191893966
Ar,3p,3d,1.871630137154
Ar,3p,4d,0.313637511755
Ar,3p,5d,0.007971984671
