atom,orbital,r_bohr,u
Ar,1s,1e-05,0.00147847877647
Ar,1s,1.00635684521e-05,0.00148787721315
Ar,1s,1.01275409989e-05,0.00149733539377
Ar,1s,1.01919202094e-05,0.00150685369813
Ar,1s,1.02567086685e-05,0.00151643250838
Ar,1s,1.03219089778e-05,0.00152607220916
Ar,1s,1.03875237555e-05,0.00153577318754
Ar,1s,1.0453555636e-05,0.001545535833
Ar,1s,1.05200072711e-05,0.00155536053761
Ar,1s,1.05868813289e-05,0.00156524769579
Ar,1s,1.06541804947e-05,0.00157519770457
Ar,1s,1.07219074709e-05,0.00158521096348
Ar,1s,1.0790064977e-05,0.00159528787455
Ar,1s,1.08586557498e-05,0.00160542884243
Ar,1s,1.09276825436e-05,0.00161563427429
Ar,1s,1.099714813e-05,0.00162590457992
Ar,1s,1.10670552984e-05,0.00163624017169
Ar,1s,1.11374068558e-05,0.00164664146459
Ar,1s,1.12082056272e-05,0.00165710887627
Ar,1s,1.12794544554e-05,0.00166764282704
Ar,1s,1.13511562014e-05,0.00167824373985
Ar,1s,1.14233137442e-05,0.00168891204035
Ar,1s,1.14959299815e-05,0.00169964815694
Ar,1s,1.15690078289e-05,0.00171045252066
Ar,1s,1.16425502208e-05,0.00172132556533
Ar,1s,1.17165601104e-05,0.00173226772756
Ar,1s,1.17910404694e-05,0.0017432794467
Ar,1s,1.18659942884e-05,0.00175436116487
Ar,1s,1.19414245773e-05,0.00176551332706
Ar,1s,1.20173343649e-05,0.00177673638107
Ar,1s,1.20937266993e-05,0.0017880307775
Ar,1s,1.21706046479e-05,0.00179939696985
Ar,1s,1.22479712977e-05,0.00181083541452
Ar,1s,1.23258297553e-05,0.00182234657076
Ar,1s,1.24041831471e-05,0.00183393090081
Ar,1s,1.24830346193e-05,0.00184558886978
Ar,1s,1.25623873381e-05,0.00185732094579
Ar,1s,1.26422444898e-05,0.00186912759987
Ar,1s,1.27226092811e-05,0.00188100930612
Ar,1s,1.28034849389e-05,0.0018929665416
Ar,1s,1.28848747108e-05,0.00190499978643
Ar,1s,1.29667818648e-05,0.00191710952376
Ar,1s,1.30492096899e-05,0.00192929623982
Ar,1s,1.3132161496e-05,0.00194156042398
Ar,1s,1.32156406139e-05,0.00195390256861
Ar,1s,1.32996503956e-05,0.0019663231693
Ar,1s,1.33841942144e-05,0.00197882272474
Ar,1s,1.34692754652e-05,0.00199140173686
Ar,1s,1.35548975644e-05,0.0020040607107
Ar,1s,1.364106395e-05,0.00201680015455
Ar,1s,1.3727778082e-05,0.00202962057993
Ar,1s,1.38150434423e-05,0.00204252250159
Ar,1s,1.3902863535e-05,0.00205550643758
Ar,1s,1.39912418864e-05,0.00206857290922
Ar,1s,1.40801820453e-05,0.00208172244116
Ar,1s,1.41696875831e-05,0.00209495556139
Ar,1s,1.42597620936e-05,0.00210827280119
Ar,1s,1.4350409194e-05,0.00212167469535
Ar,1s,1.44416325238e-05,0.00213516178192
Ar,1s,1.45334357463e-05,0.00214873460245
Ar,1s,1.46258225477e-05,0.00216239370191
Ar,1s,1.47187966376e-05,0.00217613962873
Ar,1s,1.48123617495e-05,0.00218997293485
Ar,1s,1.49065216403e-05,0.00220389417568
Ar,1s,1.50012800909e-05,0.00221790391018
Ar,1s,1.50966409063e-05,0.00223200270085
Ar,1s,1.51926079157e-05,0.00224619111382
Ar,1s,1.52891849725e-05,0.00226046971873
Ar,1s,1.53863759547e-05,0.00227483908891
Ar,1s,1.5484184765e-05,0.00228929980131
