atom,orbital,r_bohr,R
Ar,1s,1e-05,147.848325792
Ar,1s,1.00635684521e-05,147.848323403
Ar,1s,1.01275409989e-05,147.848320984
Ar,1s,1.01919202094e-05,147.848318534
Ar,1s,1.02567086685e-05,147.848316052
Ar,1s,1.03219089778e-05,147.848313539
Ar,1s,1.03875237555e-05,147.848310994
Ar,1s,1.0453555636e-05,147.848308416
Ar,1s,1.05200072711e-05,147.848305806
Ar,1s,1.05868813289e-05,147.848303162
Ar,1s,1.06541804947e-05,147.848300484
Ar,1s,1.07219074709e-05,147.848297773
Ar,1s,1.0790064977e-05,147.848295027
Ar,1s,1.08586557498e-05,147.848292245
Ar,1s,1.09276825436e-05,147.848289428
Ar,1s,1.099714813e-05,147.848286576
Ar,1s,1.10670552984e-05,147.848283687
Ar,1s,1.11374068558e-05,147.848280761
Ar,1s,1.12082056272e-05,147.848277798
Ar,1s,1.12794544554e-05,147.848274797
Ar,1s,1.13511562014e-05,147.848271757
Ar,1s,1.14233137442e-05,147.848268679
Ar,1s,1.14959299815e-05,147.848265562
Ar,1s,1.15690078289e-05,147.848262405
Ar,1s,1.16425502208e-05,147.848259208
Ar,1s,1.17165601104e-05,147.84825597
Ar,1s,1.17910404694e-05,147.84825269
Ar,1s,1.18659942884e-05,147.848249369
Ar,1s,1.19414245773e-05,147.848246005
Ar,1s,1.20173343649e-05,147.848242599
Ar,1s,1.20937266993e-05,147.848239149
Ar,1s,1.21706046479e-05,147.848235655
Ar,1s,1.22479712977e-05,147.848232117
Ar,1s,1.23258297553e-05,147.848228533
Ar,1s,1.24041831471e-05,147.848224904
Ar,1s,1.24830346193e-05,147.848221228
Ar,1s,1.25623873381e-05,147.848217506
Ar,1s,1.26422444898e-05,147.848213736
Ar,1s,1.27226092811e-05,147.848209918
Ar,1s,1.28034849389e-05,147.848206051
Ar,1s,1.28848747108e-05,147.848202135
Ar,1s,1.29667818648e-05,147.848198169
Ar,1s,1.30492096899e-05,147.848194153
Ar,1s,1.3132161496e-05,147.848190085
Ar,1s,1.32156406139e-05,147.848185965
Ar,1s,1.32996503956e-05,147.848181793
Ar,1s,1.33841942144e-05,147.848177568
Ar,1s,1.34692754652e-05,147.848173288
Ar,1s,1.35548975644e-05,147.848168955
Ar,1s,1.364106395e-05,147.848164565
Ar,1s,1.3727778082e-05,147.84816012
Ar,1s,1.38150434423e-05,147.848155619
Ar,1s,1.3902863535e-05,147.848151059
Ar,1s,1.39912418864e-05,147.848146442
Ar,1s,1.40801820453e-05,147.848141766
Ar,1s,1.41696875831e-05,147.84813703
Ar,1s,1.42597620936e-05,147.848132234
Ar,1s,1.4350409194e-05,147.848127376
Ar,1s,1.44416325238e-05,147.848122457
Ar,1s,1.45334357463e-05,147.848117475
Ar,1s,1.46258225477e-05,147.848112429
Ar,1s,1.47187966376e-05,147.848107319
Ar,1s,1.48123617495e-05,147.848102144
Ar,1s,1.49065216403e-05,147.848096903
Ar,1s,1.50012800909e-05,147.848091595
Ar,1s,1.50966409063e-05,147.848086219
Ar,1s,1.51926079157e-05,147.848080775
Ar,1s,1.52891849725e-05,147.848075261
Ar,1s,1.53863759547e-05,147.848069677
Ar,1s,1.5484184765e-05,147.848064022
Ar,1s,1.55826153306e-05,147.848058295
Ar,1s,1.56816716042e-05,147.848052494
Ar,1s,1.57813575632e-05,147.84804662
Ar,1s,1.58816772104e-05,147.848040671
Ar,1s,1.5982634574e-05,147.848034646
Ar,1s,1.6084233708e-05,147.848028544
Ar,1s,1.61864786919e-05,147.848022364
Ar,1s,1.62893736314e-05,147.848016105
Ar,1s,1.63929226581e-05,147.848009767
Ar,1s,1.64971299299e-05,147.848003348
Ar,1s,1.66019996312e-05,147.847996847
Ar,1s,1.6707535973e-05,147.847990263
Ar,1s,1.68137431929e-05,147.847983595
Ar,1s,1.69206255558e-05,147.847976842
Ar,1s,1.70281873532e-05,147.847970002
Ar,1s,1.71364329044e-05,147.847963076
Ar,1s,1.72453665557e-05,147.847956061
Ar,1s,1.73549926815e-05,147.847948957
Ar,1s,1.74653156835e-05,147.847941763
Ar,1s,1.75763399918e-05,147.847934476
Ar,1s,1.76880700644e-05,147.847927097
Ar,1s,1.78005103878e-05,147.847919623
Ar,1s,1.79136654769e-05,147.847912054
Ar,1s,1.80275398754e-05,147.847904389
Ar,1s,1.81421381559e-05,147.847896626
Ar,1s,1.82574649198e-05,147.847888764
Ar,1s,1.83735247982e-05,147.847880802
Ar,1s,1.84903224512e-05,147.847872738
Ar,1s,1.86078625689e-05,147.847864571
Ar,1s,1.87261498708e-05,147.8478563
Ar,1s,1.88451891069e-05,147.847847924
Ar,1s,1.89649850569e-05,147.847839441
Ar,1s,1.90855425313e-05,147.847830849
Ar,1s,1.92068663708e-05,147.847822148
Ar,1s,1.93289614472e-05,147.847813337
Ar,1s,1.94518326632e-05,147.847804412
Ar,1s,1.95754849524e-05,147.847795374
Ar,1s,1.96999232801e-05,147.847786221
Ar,1s,1.98251526429e-05,147.847776951
Ar,1s,1.99511780695e-05,147.847767563
Ar,1s,2.00780046201e-05,147.847758055
Ar,1s,2.02056373876e-05,147.847748426
Ar,1s,2.03340814967e-05,147.847738674
