atom,orbital,r_bohr,u
Ar,1s,1e-05,0.00147847831068
Ar,1s,1.00635684521e-05,0.0014878767444
Ar,1s,1.01275409989e-05,0.00149733492204
Ar,1s,1.01919202094e-05,0.0015068532234
Ar,1s,1.02567086685e-05,0.00151643203063
Ar,1s,1.03219089778e-05,0.00152607172837
Ar,1s,1.03875237555e-05,0.0015357727037
Ar,1s,1.0453555636e-05,0.00154553534609
Ar,1s,1.05200072711e-05,0.0015553600476
Ar,1s,1.05868813289e-05,0.00156524720267
Ar,1s,1.06541804947e-05,0.00157519720831
Ar,1s,1.07219074709e-05,0.00158521046407
Ar,1s,1.0790064977e-05,0.00159528737197
Ar,1s,1.08586557498e-05,0.00160542833665
Ar,1s,1.09276825436e-05,0.0016156337653
Ar,1s,1.099714813e-05,0.00162590406769
Ar,1s,1.10670552984e-05,0.0016362396562
Ar,1s,1.11374068558e-05,0.00164664094582
Ar,1s,1.12082056272e-05,0.00165710835422
Ar,1s,1.12794544554e-05,0.00166764230166
Ar,1s,1.13511562014e-05,0.00167824321113
Ar,1s,1.14233137442e-05,0.00168891150827
Ar,1s,1.14959299815e-05,0.00169964762147
Ar,1s,1.15690078289e-05,0.00171045198179
Ar,1s,1.16425502208e-05,0.00172132502304
Ar,1s,1.17165601104e-05,0.00173226718183
Ar,1s,1.17910404694e-05,0.00174327889749
Ar,1s,1.18659942884e-05,0.00175436061217
Ar,1s,1.19414245773e-05,0.00176551277085
Ar,1s,1.20173343649e-05,0.00177673582131
Ar,1s,1.20937266993e-05,0.00178803021418
Ar,1s,1.21706046479e-05,0.00179939640296
Ar,1s,1.22479712977e-05,0.00181083484402
Ar,1s,1.23258297553e-05,0.00182234599664
Ar,1s,1.24041831471e-05,0.00183393032304
Ar,1s,1.24830346193e-05,0.00184558828834
Ar,1s,1.25623873381e-05,0.00185732036064
Ar,1s,1.26422444898e-05,0.00186912701101
Ar,1s,1.27226092811e-05,0.00188100871352
Ar,1s,1.28034849389e-05,0.00189296594523
Ar,1s,1.28848747108e-05,0.00190499918627
Ar,1s,1.29667818648e-05,0.00191710891979
Ar,1s,1.30492096899e-05,0.00192929563202
