atom,channel,delta_Ha,osc,is_core,source
Ar,mo_occ_002_to_virt_003,1.397534093192,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_004,2.032534505019,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_005,4.430572576953,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_006,30.374559629742,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_013,1.386991131000,0.000247728053,true,PySCF_MO
Ar,mo_occ_002_to_virt_014,1.386991131000,0.000247728053,true,PySCF_MO
Ar,mo_occ_002_to_virt_015,1.386991131000,0.000247728053,true,PySCF_MO
Ar,mo_occ_002_to_virt_016,1.809698408778,0.017193708433,true,PySCF_MO
Ar,mo_occ_002_to_virt_017,1.809698408778,0.017193708433,true,PySCF_MO
Ar,mo_occ_002_to_virt_018,1.809698408778,0.017193708433,true,PySCF_MO
Ar,mo_occ_002_to_virt_019,3.246390320049,0.084976309450,true,PySCF_MO
Ar,mo_occ_002_to_virt_020,3.246390320049,0.084976309450,true,PySCF_MO
Ar,mo_occ_002_to_virt_021,3.246390320049,0.084976309450,true,PySCF_MO
Ar,mo_occ_002_to_virt_022,7.958494926060,0.087962327310,true,PySCF_MO
Ar,mo_occ_002_to_virt_023,7.958494926060,0.087962327310,true,PySCF_MO
Ar,mo_occ_002_to_virt_024,7.958494926060,0.087962327310,true,PySCF_MO
Ar,mo_occ_002_to_virt_025,1.591773174841,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_026,1.591773174841,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_027,1.591773174841,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_028,1.591773174841,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_029,1.591773174841,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_030,2.055500780520,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_031,2.055500780520,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_032,2.055500780520,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_033,2.055500780520,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_034,2.055500780520,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_035,3.321721717209,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_036,3.321721717209,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_037,3.321721717209,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_038,3.321721717209,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_039,3.321721717209,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_040,6.342755156973,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_041,6.342755156973,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_042,6.342755156973,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_043,6.342755156973,0.000000000000,true,PySCF_MO
Ar,mo_occ_002_to_virt_044,6.342755156973,0.000000000000,true,PySCF_MO
