atom,orbital,type,n,l,occupation,energy_Ha
Ar,1s,core,1,0,2,-118.612040372
Ar,2s,core,2,0,2,-12.3231000583
Ar,3s,core,3,0,2,-1.2778355148
Ar,4s,virtual,4,0,0,0.039822885091
Ar,5s,virtual,5,0,0,0.240758314153
Ar,6s,virtual,6,0,0,1.18883491629
Ar,7s,virtual,7,0,0,6.23084078288
Ar,2p,core,2,1,6,-9.57207328405
Ar,3p,core,3,1,6,-0.591314959866
Ar,4p,virtual,4,1,0,0.0363652521688
Ar,5p,virtual,5,1,0,0.175108672618
Ar,6p,virtual,6,1,0,0.752029105864
Ar,7p,virtual,7,1,0,3.06933828061
Ar,3d,virtual,3,2,0,0.204368387695
Ar,4d,virtual,4,2,0,0.530157415749
Ar,5d,virtual,5,2,0,1.20443563978
Ar,6d,virtual,6,2,0,3.03657778203
Ar,4f,virtual,4,3,0,0.717979667054
Ar,5f,virtual,5,3,0,1.89371428404
Ar,6f,virtual,6,3,0,4.121311316
