atom,from_orbital,to_orbital,d2
Ar,1s,4p,0.000000686559
Ar,1s,5p,0.000013402351
Ar,1s,6p,0.000082552453
Ar,1s,7p,0.000631846664
Ar,2s,4p,0.000025169154
Ar,2s,5p,0.000566731343
Ar,2s,6p,0.003514438823
Ar,2s,7p,0.016569722860
Ar,3s,4p,0.000134381690
Ar,3s,5p,0.001240618094
Ar,3s,6p,0.036049688665
Ar,3s,7p,0.062979736422
Ar,2p,4s,0.000034169498
Ar,2p,5s,0.000211704280
Ar,2p,6s,0.001219758811
Ar,2p,7s,0.002150279446
Ar,2p,3d,0.000137138561
Ar,2p,4d,0.003700940871
Ar,2p,5d,0.010381658565
Ar,2p,6d,0.029269873630
Ar,3p,4s,0.068186425563
Ar,3p,5s,0.195261112446
Ar,3p,6s,0.089816022513
Ar,3p,7s,0.004030411231
Ar,3p,3d,0.564237306793
Ar,3p,4d,1.457173755355
Ar,3p,5d,0.167641744569
Ar,3p,6d,0.011434770097
