atom,orbital,r_bohr,u
Ar,1s,1e-05,0.00147847883009
Ar,1s,1.00635684521e-05,0.00148787726711
Ar,1s,1.01275409989e-05,0.00149733544808
Ar,1s,1.01919202094e-05,0.00150685375278
Ar,1s,1.02567086685e-05,0.00151643256337
Ar,1s,1.03219089778e-05,0.0015260722645
Ar,1s,1.03875237555e-05,0.00153577324324
Ar,1s,1.0453555636e-05,0.00154553588905
Ar,1s,1.05200072711e-05,0.00155536059401
Ar,1s,1.05868813289e-05,0.00156524775256
Ar,1s,1.06541804947e-05,0.0015751977617
Ar,1s,1.07219074709e-05,0.00158521102097
Ar,1s,1.0790064977e-05,0.00159528793241
Ar,1s,1.08586557498e-05,0.00160542890065
Ar,1s,1.09276825436e-05,0.00161563433289
Ar,1s,1.099714813e-05,0.00162590463889
Ar,1s,1.10670552984e-05,0.00163624023103
Ar,1s,1.11374068558e-05,0.00164664152431
Ar,1s,1.12082056272e-05,0.00165710893637
Ar,1s,1.12794544554e-05,0.00166764288752
Ar,1s,1.13511562014e-05,0.00167824380072
Ar,1s,1.14233137442e-05,0.00168891210161
Ar,1s,1.14959299815e-05,0.00169964821858
Ar,1s,1.15690078289e-05,0.00171045258269
Ar,1s,1.16425502208e-05,0.00172132562775
Ar,1s,1.17165601104e-05,0.00173226779038
Ar,1s,1.17910404694e-05,0.00174327950992
Ar,1s,1.18659942884e-05,0.0017543612285
Ar,1s,1.19414245773e-05,0.00176551339109
Ar,1s,1.20173343649e-05,0.0017767364455
Ar,1s,1.20937266993e-05,0.00178803084234
Ar,1s,1.21706046479e-05,0.00179939703511
Ar,1s,1.22479712977e-05,0.00181083548018
Ar,1s,1.23258297553e-05,0.00182234663685
Ar,1s,1.24041831471e-05,0.00183393096732
Ar,1s,1.24830346193e-05,0.00184558893671
Ar,1s,1.25623873381e-05,0.00185732101315
Ar,1s,1.26422444898e-05,0.00186912766766
Ar,1s,1.27226092811e-05,0.00188100937434
Ar,1s,1.28034849389e-05,0.00189296661025
Ar,1s,1.28848747108e-05,0.00190499985552
Ar,1s,1.29667818648e-05,0.00191710959329
Ar,1s,1.30492096899e-05,0.00192929630979
Ar,1s,1.3132161496e-05,0.00194156049439
Ar,1s,1.32156406139e-05,0.00195390263947
Ar,1s,1.32996503956e-05,0.00196632324061
Ar,1s,1.33841942144e-05,0.00197882279651
Ar,1s,1.34692754652e-05,0.00199140180908
Ar,1s,1.35548975644e-05,0.00200406078338
Ar,1s,1.364106395e-05,0.00201680022769
Ar,1s,1.3727778082e-05,0.00202962065353
Ar,1s,1.38150434423e-05,0.00204252257566
Ar,1s,1.3902863535e-05,0.00205550651213
Ar,1s,1.39912418864e-05,0.00206857298424
Ar,1s,1.40801820453e-05,0.00208172251666
Ar,1s,1.41696875831e-05,0.00209495563736
Ar,1s,1.42597620936e-05,0.00210827287765
Ar,1s,1.4350409194e-05,0.0021216747723
Ar,1s,1.44416325238e-05,0.00213516185935
Ar,1s,1.45334357463e-05,0.00214873468037
Ar,1s,1.46258225477e-05,0.00216239378034
Ar,1s,1.47187966376e-05,0.00217613970765
Ar,1s,1.48123617495e-05,0.00218997301428
Ar,1s,1.49065216403e-05,0.00220389425561
Ar,1s,1.50012800909e-05,0.00221790399062
Ar,1s,1.50966409063e-05,0.0022320027818
Ar,1s,1.51926079157e-05,0.00224619119528
Ar,1s,1.52891849725e-05,0.00226046980071
Ar,1s,1.53863759547e-05,0.00227483917141
Ar,1s,1.5484184765e-05,0.00228929988434
Ar,1s,1.55826153306e-05,0.00230385252006
Ar,1s,1.56816716042e-05,0.00231849766296
Ar,1s,1.57813575632e-05,0.00233323590102
Ar,1s,1.58816772104e-05,0.00234806782598
Ar,1s,1.5982634574e-05,0.00236299403338
Ar,1s,1.6084233708e-05,0.00237801512254
Ar,1s,1.61864786919e-05,0.00239313169655
Ar,1s,1.62893736314e-05,0.00240834436235
Ar,1s,1.63929226581e-05,0.00242365373077
Ar,1s,1.64971299299e-05,0.00243906041645
Ar,1s,1.66019996312e-05,0.00245456503804
Ar,1s,1.6707535973e-05,0.00247016821804
Ar,1s,1.68137431929e-05,0.00248587058291
Ar,1s,1.69206255558e-05,0.00250167276316
Ar,1s,1.70281873532e-05,0.00251757539321
Ar,1s,1.71364329044e-05,0.0025335791116
Ar,1s,1.72453665557e-05,0.00254968456084
Ar,1s,1.73549926815e-05,0.00256589238764
Ar,1s,1.74653156835e-05,0.0025822032427
Ar,1s,1.75763399918e-05,0.00259861778095
Ar,1s,1.76880700644e-05,0.00261513666139
Ar,1s,1.78005103878e-05,0.00263176054732
Ar,1s,1.79136654769e-05,0.00264849010614
Ar,1s,1.80275398754e-05,0.0026653260096
Ar,1s,1.81421381559e-05,0.00268226893364
Ar,1s,1.82574649198e-05,0.0026993195585
Ar,1s,1.83735247982e-05,0.00271647856879
Ar,1s,1.84903224512e-05,0.00273374665345
Ar,1s,1.86078625689e-05,0.00275112450582
Ar,1s,1.87261498708e-05,0.00276861282355
Ar,1s,1.88451891069e-05,0.00278621230885
Ar,1s,1.89649850569e-05,0.00280392366832
Ar,1s,1.90855425313e-05,0.0028217476131
Ar,1s,1.92068663708e-05,0.00283968485876
Ar,1s,1.93289614472e-05,0.00285773612551
Ar,1s,1.94518326632e-05,0.00287590213813
Ar,1s,1.95754849524e-05,0.00289418362592
Ar,1s,1.96999232801e-05,0.00291258132292
Ar,1s,1.98251526429e-05,0.00293109596775
Ar,1s,1.99511780695e-05,0.00294972830379
Ar,1s,2.00780046201e-05,0.00296847907913
Ar,1s,2.02056373876e-05,0.00298734904657
Ar,1s,2.03340814967e-05,0.00300633896373
Ar,1s,2.04633421052e-05,0.00302544959306
Ar,1s,2.05934244034e-05,0.00304468170183
Ar,1s,2.07243336146e-05,0.00306403606218
Ar,1s,2.08560749954e-05,0.00308351345117
Ar,1s,2.09886538357e-05,0.00310311465079
Ar,1s,2.11220754593e-05,0.00312284044805
Ar,1s,2.12563452234e-05,0.00314269163485
Ar,1s,2.13914685196e-05,0.00316266900824
Ar,1s,2.15274507738e-05,0.00318277337029
Ar,1s,2.1664297446e-05,0.00320300552812
Ar,1s,2.18020140314e-05,0.00322336629404
Ar,1s,2.19406060598e-05,0.00324385648552
Ar,1s,2.20800790962e-05,0.00326447692517
Ar,1s,2.22204387412e-05,0.00328522844091
Ar,1s,2.23616906307e-05,0.00330611186587
Ar,1s,2.25038404366e-05,0.00332712803845
Ar,1s,2.26468938668e-05,0.00334827780244
Ar,1s,2.27908566655e-05,0.00336956200694
Ar,1s,2.29357346134e-05,0.00339098150647
Ar,1s,2.30815335281e-05,0.00341253716102
Ar,1s,2.32282592638e-05,0.00343422983592
Ar,1s,2.33759177124e-05,0.00345606040215
Ar,1s,2.35245148028e-05,0.00347802973611
Ar,1s,2.3674056502e-05,0.00350013871984
Ar,1s,2.38245488146e-05,0.00352238824097
Ar,1s,2.39759977835e-05,0.00354477919271
Ar,1s,2.41284094901e-05,0.00356731247405
Ar,1s,2.42817900543e-05,0.00358998898961
Ar,1s,2.4436145635e-05,0.0036128096498
Ar,1s,2.45914824302e-05,0.00363577537078
Ar,1s,2.47478066775e-05,0.00365888707457
Ar,1s,2.49051246537e-05,0.00368214568902
Ar,1s,2.5063442676e-05,0.00370555214788
Ar,1s,2.52227671014e-05,0.00372910739087
Ar,1s,2.53831043275e-05,0.00375281236361
Ar,1s,2.55444607926e-05,0.00377666801779
Ar,1s,2.57068429757e-05,0.00380067531116
Ar,1s,2.58702573973e-05,0.00382483520747
Ar,1s,2.6034710619e-05,0.00384914867665
Ar,1s,2.62002092444e-05,0.00387361669484
Ar,1s,2.63667599189e-05,0.00389824024427
Ar,1s,2.65343693303e-05,0.0039230203135
Ar,1s,2.67030442088e-05,0.00394795789734
Ar,1s,2.68727913274e-05,0.00397305399694
Ar,1s,2.70436175021e-05,0.00399830961977
Ar,1s,2.72155295924e-05,0.00402372577974
Ar,1s,2.73885345012e-05,0.00404930349717
Ar,1s,2.75626391755e-05,0.00407504379889
Ar,1s,2.77378506062e-05,0.00410094771826
Ar,1s,2.79141758289e-05,0.00412701629518
Ar,1s,2.80916219237e-05,0.00415325057618
Ar,1s,2.82701960158e-05,0.00417965161438
Ar,1s,2.84499052759e-05,0.0042062204697
Ar,1s,2.86307569198e-05,0.00423295820866
Ar,1s,2.88127582097e-05,0.00425986590472
Ar,1s,2.89959164536e-05,0.00428694463798
Ar,1s,2.91802390061e-05,0.00431419549554
Ar,1s,2.93657332686e-05,0.00434161957132
Ar,1s,2.95524066894e-05,0.00436921796629
Ar,1s,2.97402667642e-05,0.00439699178828
Ar,1s,2.99293210364e-05,0.00442494215226
Ar,1s,3.01195770973e-05,0.00445307018021
Ar,1s,3.03110425866e-05,0.00448137700135
Ar,1s,3.05037251924e-05,0.00450986375199
Ar,1s,3.06976326517e-05,0.00453853157564
Ar,1s,3.08927727506e-05,0.00456738162308
Ar,1s,3.1089153325e-05,0.00459641505251
Ar,1s,3.12867822603e-05,0.00462563302934
Ar,1s,3.14856674921e-05,0.00465503672648
Ar,1s,3.16858170066e-05,0.00468462732426
Ar,1s,3.18872388405e-05,0.00471440601048
Ar,1s,3.20899410819e-05,0.00474437398052
Ar,1s,3.229393187e-05,0.00477453243738
Ar,1s,3.2499219396e-05,0.00480488259162
Ar,1s,3.27058119031e-05,0.00483542566157
Ar,1s,3.29137176867e-05,0.00486616287329
Ar,1s,3.31229450952e-05,0.00489709546054
Ar,1s,3.33335025299e-05,0.00492822466503
Ar,1s,3.35453984457e-05,0.00495955173632
Ar,1s,3.3758641351e-05,0.00499107793184
Ar,1s,3.39732398084e-05,0.00502280451711
Ar,1s,3.41892024351e-05,0.00505473276565
Ar,1s,3.44065379027e-05,0.00508686395902
Ar,1s,3.46252549382e-05,0.005119199387
Ar,1s,3.48453623241e-05,0.00515174034751
Ar,1s,3.50668688985e-05,0.00518448814674
Ar,1s,3.5289783556e-05,0.00521744409916
Ar,1s,3.55141152474e-05,0.00525060952755
Ar,1s,3.57398729807e-05,0.00528398576319
Ar,1s,3.59670658209e-05,0.00531757414576
Ar,1s,3.61957028909e-05,0.0053513760234
Ar,1s,3.64257933713e-05,0.00538539275292
Ar,1s,3.66573465013e-05,0.00541962569965
Ar,1s,3.68903715787e-05,0.00545407623768
Ar,1s,3.71248779604e-05,0.00548874574969
Ar,1s,3.73608750629e-05,0.0055236356273
Ar,1s,3.75983723624e-05,0.00555874727084
Ar,1s,3.78373793956e-05,0.00559408208967
Ar,1s,3.80779057594e-05,0.00562964150193
Ar,1s,3.83199611121e-05,0.00566542693493
Ar,1s,3.85635551732e-05,0.00570143982491
Ar,1s,3.8808697724e-05,0.00573768161735
Ar,1s,3.90553986081e-05,0.00577415376681
Ar,1s,3.93036677316e-05,0.00581085773712
Ar,1s,3.95535150634e-05,0.00584779500142
Ar,1s,3.9804950636e-05,0.00588496704221
Ar,1s,4.00579845456e-05,0.00592237535143
Ar,1s,4.03126269527e-05,0.00596002143035
Ar,1s,4.05688880821e-05,0.00599790678998
Ar,1s,4.08267782238e-05,0.00603603295076
Ar,1s,4.10863077332e-05,0.00607440144286
Ar,1s,4.13474870316e-05,0.00611301380617
Ar,1s,4.16103266063e-05,0.00615187159032
Ar,1s,4.18748370116e-05,0.00619097635483
Ar,1s,4.21410288685e-05,0.00623032966908
Ar,1s,4.24089128658e-05,0.00626993311236
Ar,1s,4.26784997603e-05,0.00630978827414
Ar,1s,4.29498003769e-05,0.0063498967539
Ar,1s,4.32228256096e-05,0.00639026016117
Ar,1s,4.34975864213e-05,0.00643088011588
Ar,1s,4.37740938451e-05,0.00647175824815
Ar,1s,4.40523589837e-05,0.00651289619846
Ar,1s,4.43323930107e-05,0.00655429561766
Ar,1s,4.46142071707e-05,0.00659595816718
Ar,1s,4.48978127797e-05,0.00663788551897
Ar,1s,4.51832212257e-05,0.00668007935546
Ar,1s,4.54704439689e-05,0.00672254136998
Ar,1s,4.57594925427e-05,0.00676527326641
Ar,1s,4.60503785535e-05,0.00680827675962
Ar,1s,4.63431136817e-05,0.00685155357518
Ar,1s,4.66377096817e-05,0.00689510544975
Ar,1s,4.6934178383e-05,0.00693893413102
Ar,1s,4.72325316898e-05,0.0069830413777
Ar,1s,4.75327815825e-05,0.00702742895965
Ar,1s,4.78349401172e-05,0.00707209865806
Ar,1s,4.8139019427e-05,0.00711705226536
Ar,1s,4.84450317219e-05,0.00716229158531
Ar,1s,4.87529892896e-05,0.00720781843326
Ar,1s,4.90629044958e-05,0.00725363463593
Ar,1s,4.93747897851e-05,0.00729974203173
Ar,1s,4.96886576808e-05,0.00734614247074
Ar,1s,5.00045207862e-05,0.00739283781463
Ar,1s,5.03223917845e-05,0.00743982993713
Ar,1s,5.06422834395e-05,0.0074871207237
Ar,1s,5.09642085962e-05,0.00753471207172
Ar,1s,5.12881801813e-05,0.00758260589074
Ar,1s,5.16142112036e-05,0.00763080410242
Ar,1s,5.19423147547e-05,0.00767930864052
Ar,1s,5.22725040093e-05,0.00772812145114
Ar,1s,5.26047922258e-05,0.00777724449264
Ar,1s,5.29391927471e-05,0.00782667973597
Ar,1s,5.32757190007e-05,0.00787642916441
Ar,1s,5.36143844997e-05,0.00792649477394
Ar,1s,5.39552028428e-05,0.0079768785732
Ar,1s,5.42981877153e-05,0.00802758258343
Ar,1s,5.46433528896e-05,0.00807860883888
Ar,1s,5.49907122255e-05,0.00812995938662
Ar,1s,5.53402796709e-05,0.00818163628675
Ar,1s,5.56920692625e-05,0.00823364161231
Ar,1s,5.6046095126e-05,0.00828597744962
Ar,1s,5.64023714771e-05,0.00833864589825
Ar,1s,5.67609126219e-05,0.00839164907098
Ar,1s,5.71217329572e-05,0.00844498909399
Ar,1s,5.74848469715e-05,0.00849866810713
Ar,1s,5.78502692454e-05,0.00855268826361
Ar,1s,5.82180144522e-05,0.00860705173044
Ar,1s,5.85880973582e-05,0.00866176068819
Ar,1s,5.89605328241e-05,0.00871681733155
Ar,1s,5.93353358045e-05,0.00877222386881
Ar,1s,5.97125213495e-05,0.00882798252253
Ar,1s,6.00921046046e-05,0.00888409552925
Ar,1s,6.04741008117e-05,0.00894056513963
Ar,1s,6.08585253096e-05,0.00899739361864
Ar,1s,6.12453935344e-05,0.00905458324574
Ar,1s,6.16347210207e-05,0.00911213631466
Ar,1s,6.20265234016e-05,0.00917005513383
Ar,1s,6.24208164096e-05,0.00922834202614
Ar,1s,6.28176158771e-05,0.0092869993294
Ar,1s,6.32169377375e-05,0.00934602939611
Ar,1s,6.36187980251e-05,0.00940543459377
Ar,1s,6.40232128764e-05,0.00946521730481
Ar,1s,6.44301985303e-05,0.00952537992674
Ar,1s,6.48397713289e-05,0.00958592487237
Ar,1s,6.52519477185e-05,0.00964685456983
Ar,1s,6.56667442495e-05,0.00970817146249
Ar,1s,6.60841775779e-05,0.00976987800924
Ar,1s,6.65042644654e-05,0.00983197668478
Ar,1s,6.69270217802e-05,0.00989446997913
Ar,1s,6.73524664977e-05,0.00995736039834
Ar,1s,6.77806157015e-05,0.0100206504643
Ar,1s,6.82114865835e-05,0.0100843427148
Ar,1s,6.86450964451e-05,0.0101484397039
Ar,1s,6.90814626973e-05,0.0102129440016
Ar,1s,6.95206028623e-05,0.0102778581944
Ar,1s,6.99625345734e-05,0.010343184885
Ar,1s,7.04072755759e-05,0.0104089266926
Ar,1s,7.08548437281e-05,0.0104750862533
Ar,1s,7.13052570018e-05,0.0105416662196
