atom,channel,delta_Ha,osc,is_core,source,component
Ca,tdhf_001,0.102356482305,0.000000001488,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_002,0.102356483455,0.000000001488,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_003,0.102356485052,0.000000001488,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_010,0.150661307868,0.000000001339,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_011,0.150661308186,0.000000001339,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_012,0.150661309168,0.000000001339,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_031,0.229293799615,0.000000006093,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_032,0.229293800824,0.000000006093,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_033,0.229293800940,0.000000006093,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_047,0.537960969486,0.000000025317,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_048,0.537960969557,0.000000025317,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_049,0.537960972174,0.000000025317,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_080,1.213596183419,0.000008333802,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_081,1.213596183421,0.000008333802,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_082,1.213596183422,0.000008333802,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_083,1.242822729454,0.000000884487,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_084,1.242822729462,0.000000884487,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_085,1.242822729462,0.000000884487,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_107,1.293581307628,0.000001872179,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_108,1.293581307629,0.000001872179,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_109,1.293581307629,0.000001872179,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_110,1.311130860193,0.000000169392,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_111,1.311130860194,0.000000169392,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_112,1.311130860195,0.000000169392,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_155,1.355999487521,0.000007057803,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_156,1.355999487522,0.000007057803,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_157,1.355999487522,0.000007057803,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_158,1.457425305569,0.000000673726,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_159,1.457425305569,0.000000673726,true,PySCF_TDHF_PROJECTED,deep_core
Ca,tdhf_160,1.457425305569,0.000000673726,true,PySCF_TDHF_PROJECTED,deep_core
