atom,channel,delta_Ha,osc,is_core,source,component
Ca,tdhf_001,0.102356482305,0.000652131181,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_002,0.102356483455,0.000652131129,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_003,0.102356485052,0.000652131256,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_010,0.150661307868,0.000459689877,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_011,0.150661308186,0.000459689915,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_012,0.150661309168,0.000459689846,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_031,0.229293799615,0.001550647938,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_032,0.229293800824,0.001550647891,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_033,0.229293800940,0.001550647932,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_047,0.537960969486,0.006160243646,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_048,0.537960969557,0.006160243645,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_049,0.537960972174,0.006160243677,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_080,1.213596183419,0.919895127314,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_081,1.213596183421,0.919895127288,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_082,1.213596183422,0.919895127338,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_083,1.242822729454,0.007163630071,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_084,1.242822729462,0.007163630057,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_085,1.242822729462,0.007163630088,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_107,1.293581307628,0.117689295704,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_108,1.293581307629,0.117689295738,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_109,1.293581307629,0.117689295720,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_110,1.311130860193,0.012200367054,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_111,1.311130860194,0.012200367049,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_112,1.311130860195,0.012200367049,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_155,1.355999487521,0.307856172935,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_156,1.355999487522,0.307856172962,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_157,1.355999487522,0.307856172928,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_158,1.457425305569,0.037693559247,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_159,1.457425305569,0.037693559248,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_160,1.457425305569,0.037693559248,true,PySCF_TDHF_PROJECTED,semicore
