atom,channel,delta_Ha,osc,is_core,source,component
Ca,tdhf_001,0.102356482305,0.613242986521,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_002,0.102356483455,0.613242978102,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_003,0.102356485052,0.613243015862,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_010,0.150661307868,0.046227814774,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_011,0.150661308186,0.046227822022,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_012,0.150661309168,0.046227799675,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_031,0.229293799615,0.003670878793,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_032,0.229293800824,0.003670877283,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_033,0.229293800940,0.003670878893,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_047,0.537960969486,0.027623135949,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_048,0.537960969557,0.027623135899,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_049,0.537960972174,0.027623135839,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_080,1.213596183419,0.916547618378,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_081,1.213596183421,0.916547618350,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_082,1.213596183422,0.916547618413,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_083,1.242822729454,0.006456308408,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_084,1.242822729462,0.006456308397,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_085,1.242822729462,0.006456308426,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_107,1.293581307628,0.122184236061,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_108,1.293581307629,0.122184236094,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_109,1.293581307629,0.122184236075,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_110,1.311130860193,0.011725837889,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_111,1.311130860194,0.011725837946,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_112,1.311130860195,0.011725837945,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_155,1.355999487521,0.323971143114,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_156,1.355999487522,0.323971143138,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_157,1.355999487522,0.323971143102,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_158,1.457425305569,0.036232723295,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_159,1.457425305569,0.036232723297,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
Ca,tdhf_160,1.457425305569,0.036232723295,true,PySCF_TDHF_PROJECTED,valence_plus_semicore
