atom,channel,delta_Ha,osc,is_core,source,component
Ca,tdhf_001,0.103294901178,0.639890533406,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_002,0.103294901183,0.639890533422,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_003,0.103294901191,0.639890533409,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_015,0.196302859930,0.022633659373,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_016,0.196302859931,0.022633659394,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_017,0.196302859938,0.022633659391,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_031,0.509247708573,0.026811049101,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_032,0.509247708574,0.026811049101,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_033,0.509247708577,0.026811049101,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_064,1.213574355790,0.915652869912,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_065,1.213574355790,0.915652869914,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_066,1.213574355790,0.915652869914,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_067,1.245712811517,0.009845578041,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_068,1.245712811517,0.009845578041,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_069,1.245712811517,0.009845578041,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_091,1.327682086252,0.400881847486,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_092,1.327682086252,0.400881847487,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_093,1.327682086253,0.400881847488,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_094,1.406761077309,0.033556914940,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_095,1.406761077309,0.033556914940,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_096,1.406761077309,0.033556914940,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_143,1.581833900840,0.389700689735,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_144,1.581833900841,0.389700689735,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_145,1.581833900841,0.389700689735,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_173,1.822250462813,0.000243862363,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_174,1.822250462813,0.000243862363,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_175,1.822250462815,0.000243862363,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_190,2.050858302070,0.000907179157,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_191,2.050858302070,0.000907179157,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_192,2.050858302072,0.000907179157,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_199,2.206285537486,0.000945224021,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
Ca,tdhf_200,2.206285537487,0.000945224021,true,PySCF_TDHF_PROJECTED,valence_plus_semicore_plus_deep_core
