atom,channel,delta_Ha,osc,is_core,source,component
Ca,tdhf_001,0.104066563791,0.000699128652,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_002,0.104066563791,0.000699128651,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_003,0.104066563795,0.000699128652,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_015,0.215830466927,0.002056804344,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_016,0.215830466930,0.002056804344,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_017,0.215830466937,0.002056804344,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_031,0.771933139376,0.016042416914,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_032,0.771933139376,0.016042416914,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_033,0.771933139377,0.016042416914,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_055,1.216111934899,0.894808410275,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_056,1.216111934899,0.894808410268,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_057,1.216111934900,0.894808410269,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_058,1.248807576211,0.011945635299,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_059,1.248807576211,0.011945635299,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_060,1.248807576211,0.011945635299,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_082,1.350320493832,0.502862627850,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_083,1.350320493832,0.502862627854,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_084,1.350320493832,0.502862627854,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_113,1.614612025373,0.118610299174,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_114,1.614612025374,0.118610299176,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_115,1.614612025374,0.118610299176,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_121,1.727171352883,0.197628987305,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_122,1.727171352883,0.197628987303,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_123,1.727171352883,0.197628987303,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_138,2.051458451508,0.000552849966,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_139,2.051458451511,0.000552849966,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_140,2.051458451513,0.000552849966,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_147,2.216009661243,0.000647247224,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_148,2.216009661243,0.000647247224,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_149,2.216009661243,0.000647247224,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_163,2.663186442629,0.021083248793,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_164,2.663186442630,0.021083248793,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_165,2.663186442630,0.021083248793,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_178,13.171397544555,0.000107182812,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_179,13.171397544555,0.000107182812,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_180,13.171397544555,0.000107182812,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_190,13.513541572479,0.000005605317,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_191,13.513541572479,0.000005605317,true,PySCF_TDHF_PROJECTED,semicore
Ca,tdhf_192,13.513541572479,0.000005605317,true,PySCF_TDHF_PROJECTED,semicore
