atom,channel,delta_Ha,osc,is_core,source
Cd,rpa_003,0.095184531855,0.000105968237,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_004,0.095515787044,0.000139162411,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_005,0.095949925840,0.005279178101,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_006,0.096527778563,0.000564036908,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_007,0.097226538237,0.008791536339,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_008,0.098235255952,0.014340173724,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_009,0.547721338655,0.001514633780,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_010,0.552482967869,0.001214438220,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_011,0.558127751212,0.000945406880,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_012,0.565543463673,0.000261367566,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_013,0.575216483881,0.000008052860,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_014,0.575791437456,0.000129488584,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_015,0.581664682823,0.104784814237,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_016,0.582688494052,0.097400681176,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_017,0.583711992270,0.087122232938,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_018,0.630462577826,0.000051533277,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_019,0.631589136827,0.000041273772,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_020,0.633889119884,0.002907990692,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_021,0.635212456245,0.055871858953,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_028,0.638908299665,0.009227284535,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_031,0.639325744701,0.071787557489,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_033,0.656220083240,0.761069462612,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_034,0.691352681962,0.918382400535,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_035,0.720203720199,1.096179322351,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_052,1.003438941978,0.000810787406,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_053,1.003908420416,0.000014975898,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_054,1.004352527968,0.000252880975,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_064,1.292279583464,0.163597696667,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_065,1.294115891413,0.152620603630,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_066,1.296144246675,0.135687800480,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_067,1.323133248958,0.000002900681,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_068,1.323730657456,0.000024545922,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_069,1.324533555385,0.000023093946,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_070,1.324713947410,0.000043280905,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_071,1.325106904953,0.000010364080,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_072,1.325177870172,0.000015690436,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_073,1.325448517524,0.000002945204,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_074,1.326737855575,0.000259634361,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_075,1.327037107090,0.000051664023,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_076,1.327186290512,0.000213174319,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_077,1.328038552589,0.000292198318,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_078,1.328234064237,0.000035950521,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_079,1.362434473011,0.208315535369,true,PySCF_TDDFT_PBE_def2-TZVPP
Cd,rpa_080,1.363211014300,0.162463234871,true,PySCF_TDDFT_PBE_def2-TZVPP
