atom,channel,delta_Ha,osc,is_core,source,from_shell,occ_mo,virt_mo,occ_energy_Ha,virt_energy_Ha,d2_mo
Mg,eft_dipole_2s_occ_001_to_virt_009,3.796636395115,0.001752279252,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,9,-3.767710937326,0.028925457789,0.000346150988
Mg,eft_dipole_2s_occ_001_to_virt_010,3.796636395115,0.001752279252,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,10,-3.767710937326,0.028925457789,0.000346150988
Mg,eft_dipole_2s_occ_001_to_virt_011,3.796636395115,0.001752279252,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,11,-3.767710937326,0.028925457789,0.000346150988
Mg,eft_dipole_2s_occ_001_to_virt_012,3.881977447465,0.004180536541,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,12,-3.767710937326,0.114266510138,0.000807681767
Mg,eft_dipole_2s_occ_001_to_virt_013,3.881977447465,0.004180536541,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,13,-3.767710937326,0.114266510138,0.000807681767
Mg,eft_dipole_2s_occ_001_to_virt_014,3.881977447465,0.004180536541,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,14,-3.767710937326,0.114266510138,0.000807681767
Mg,eft_dipole_2s_occ_001_to_virt_015,4.139784340766,0.013204523924,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,15,-3.767710937326,0.372073403440,0.002392248515
Mg,eft_dipole_2s_occ_001_to_virt_016,4.139784340766,0.013204523924,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,16,-3.767710937326,0.372073403440,0.002392248515
Mg,eft_dipole_2s_occ_001_to_virt_017,4.139784340766,0.013204523924,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,17,-3.767710937326,0.372073403440,0.002392248515
Mg,eft_dipole_2s_occ_001_to_virt_018,4.837456739966,0.048163554447,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,2s,1,18,-3.767710937326,1.069745802640,0.007467284521
