atom,channel,delta_Ha,osc,is_core,source,component
Kr,tdhf_001,0.405188117171,0.001279396710,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_002,0.405188117203,0.001279396710,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_003,0.405188117203,0.001279396710,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_025,0.576665975364,-0.011265929468,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_026,0.576665975364,-0.011265929469,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_027,0.576665975365,-0.011265929469,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_037,0.832329655032,0.002572835520,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_038,0.832329655034,0.002572835520,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_039,0.832329655034,0.002572835520,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_052,0.967472832969,-0.036172822242,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_053,0.967472832969,-0.036172822243,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_054,0.967472832969,-0.036172822243,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_077,1.076272346914,-0.001208276966,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_078,1.076272346916,-0.001208276966,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_079,1.076272346919,-0.001208276966,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_085,1.306794006054,-0.002289870426,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_086,1.306794006063,-0.002289870426,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_087,1.306794006073,-0.002289870426,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_122,1.854828994332,-0.021701105207,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_123,1.854828994332,-0.021701105206,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_124,1.854828994332,-0.021701105207,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_173,2.127431407637,0.003660589344,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_174,2.127431407638,0.003660589344,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_175,2.127431407643,0.003660589344,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_181,2.517191668830,0.000872583355,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_182,2.517191668830,0.000872583355,true,PySCF_TDHF_PROJECTED,cross
Kr,tdhf_183,2.517191668834,0.000872583355,true,PySCF_TDHF_PROJECTED,cross
