atom,channel,delta_Ha,osc,is_core,source
Ge,rpa_001,0.218014966011,0.003278057384,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_002,0.263517282042,0.205275924439,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_003,0.263517353413,0.205275895250,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_004,0.288608113946,0.097366814627,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_005,0.288608114588,0.097366790892,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_006,0.325226521081,0.233001486433,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_017,0.491249630181,0.000024749361,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_018,0.491249657283,0.000024751712,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_021,0.532075696952,1.084622432334,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_022,0.547643173702,1.078575914670,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_023,0.547643179786,1.078575901379,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_025,0.694304569657,0.011735185202,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_026,0.712578506540,0.001715560691,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_027,0.712578507291,0.001715561710,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_033,0.762056425551,0.041814975469,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_034,0.774891472448,0.043786807067,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_035,0.774891473634,0.043786801290,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_043,0.953991060537,0.010811857919,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_044,0.953991060835,0.010811857198,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_045,0.955600663666,0.012397411558,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_048,0.980218035553,0.019813619616,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_049,0.980218035600,0.019813619622,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_050,0.985427150417,0.035009074598,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_053,1.007351386452,0.059423510482,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_054,1.007351386466,0.059423511010,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_058,1.017518942018,0.018158774291,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_059,1.017518942088,0.018158773948,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_060,1.018524125192,0.081245979856,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_075,1.404374173376,0.007684727771,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_076,1.404374173398,0.007684727884,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_077,1.407386296121,0.001624112408,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_078,1.407386296623,0.001624112533,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_079,1.408610017169,0.000001968529,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_082,1.411712165465,0.009265762159,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_084,1.414406279684,0.001167774138,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_085,1.414406281658,0.001167773777,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_090,1.431057865926,0.006670653215,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_091,1.431057865959,0.006670653176,true,PySCF_TDDFT_PBE_def2-SVP
Ge,rpa_098,1.436682960789,0.014431749329,true,PySCF_TDDFT_PBE_def2-SVP
