atom,channel,delta_Ha,osc,is_core,source
Ge,rpa_001,0.100622943516,0.003091583981,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_002,0.216531299158,0.000050934684,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_003,0.270704209278,0.001644184008,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_004,0.270704212842,0.001644183277,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_005,0.290538730821,0.011053738924,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_010,0.315541843430,0.001778215816,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_011,0.315541890457,0.001778226238,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_013,0.350549578099,0.224656703460,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_014,0.350549599317,0.224657136162,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_015,0.372540807053,1.138083723202,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_016,0.372540812385,1.138083287731,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_017,0.380062364678,1.257805131638,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_035,0.666048535820,0.000955702831,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_037,0.685318372749,0.000008921941,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_038,0.685318372816,0.000008921935,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_039,0.727115768280,0.006833588856,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_040,0.736637492457,0.004461391839,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_041,0.736637495078,0.004461392867,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_044,0.949725966456,0.007892577572,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_045,0.949725967568,0.007892578822,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_046,0.951386636578,0.008887504137,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_053,0.968473616626,0.003139655633,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_054,0.972819811964,0.010639043012,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_055,0.972819819182,0.010639097336,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_056,0.976299071633,0.001971860247,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_057,0.976299114788,0.001971805242,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_059,0.984110966399,0.019190915011,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_060,0.985466898202,0.000017678511,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_061,0.985466899565,0.000017678443,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_066,1.008421811975,0.018754348441,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_067,1.008421812176,0.018754343674,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_069,1.017198107570,0.046366859336,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_070,1.017198108928,0.046366862431,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_071,1.019200978849,0.076525671951,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_079,1.103992794634,0.000000000220,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_080,1.104050804747,0.000000006677,true,PySCF_TDDFT_PBE_def2-TZVP
Ge,rpa_081,1.104479621587,0.000079742634,true,PySCF_TDDFT_PBE_def2-TZVP
