atom,channel,delta_Ha,osc,is_core,source
Al,rpa_001,0.127292005607,0.001645746828,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_002,0.127292065681,0.001645751465,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_003,0.204380936400,0.191216771933,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_004,0.232381992232,0.397787614985,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_005,0.232382459694,0.397793197138,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_006,0.245349280347,0.225676624258,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_010,0.390313966396,0.000000030964,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_011,0.390315726090,0.000000008937,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_012,0.398902861566,0.560200949885,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_013,0.398905238275,0.560194506031,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_015,0.414711278157,0.637559354213,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_017,0.476103743900,0.012014803827,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_018,0.476104145514,0.012016704727,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_021,0.490886347399,0.000380557996,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_025,0.539619192246,0.021614101342,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_026,0.539619304803,0.021613598669,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_027,0.552849652670,0.026225184908,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_044,1.034053125209,0.000000998088,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_045,1.034054367641,0.000001001346,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_046,1.038025036763,0.000013930714,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_051,1.092141834294,0.000074802819,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_052,1.092144397115,0.000074771171,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_053,1.094120302107,0.000051983017,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_054,1.907925386281,0.001955720521,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
Al,rpa_060,2.099548722516,0.002281071892,true,"PySCF_PSP_{'Al': [[2, 1], 0.45, 1, [-7.55476126], 2, [0.48743529, 2, [[6.95993832, -1.88883584], [-1.88883584, 2.43847659]]], [0.56218949, 1, [[1.86529857]]]]}_TDDFT_PBE"
