screening_family,R_bohr,model,epsilon,kappa,C6,E_Ha,E_meV,note
model_dielectric,8.0,dielectric,1.0,0.0,647.60794451,-0.002470428255119324,-67.2237774430541,model W_v sensitivity; not ab initio screening
model_dielectric,10.0,dielectric,1.0,0.0,647.60794451,-0.0006476079445100001,-17.622309914031977,model W_v sensitivity; not ab initio screening
model_dielectric,12.0,dielectric,1.0,0.0,647.60794451,-0.00021688259029854144,-5.901675934643981,model W_v sensitivity; not ab initio screening
model_dielectric,15.0,dielectric,1.0,0.0,647.60794451,-5.685446975122087e-05,-1.5470889362113123,model W_v sensitivity; not ab initio screening
model_dielectric,20.0,dielectric,1.0,0.0,647.60794451,-1.0118874132968751e-05,-0.27534859240674964,model W_v sensitivity; not ab initio screening
model_dielectric,30.0,dielectric,1.0,0.0,647.60794451,-8.88351089862826e-07,-0.024173264628301754,model W_v sensitivity; not ab initio screening
model_dielectric,40.0,dielectric,1.0,0.0,647.60794451,-1.5810740832763674e-07,-0.004302321756355463,model W_v sensitivity; not ab initio screening
model_dielectric,8.0,dielectric,2.0,0.0,647.60794451,-0.000617607063779831,-16.805944360763526,model W_v sensitivity; not ab initio screening
model_dielectric,10.0,dielectric,2.0,0.0,647.60794451,-0.00016190198612750002,-4.405577478507994,model W_v sensitivity; not ab initio screening
model_dielectric,12.0,dielectric,2.0,0.0,647.60794451,-5.422064757463536e-05,-1.4754189836609952,model W_v sensitivity; not ab initio screening
model_dielectric,15.0,dielectric,2.0,0.0,647.60794451,-1.4213617437805217e-05,-0.38677223405282807,model W_v sensitivity; not ab initio screening
model_dielectric,20.0,dielectric,2.0,0.0,647.60794451,-2.5297185332421878e-06,-0.06883714810168741,model W_v sensitivity; not ab initio screening
model_dielectric,30.0,dielectric,2.0,0.0,647.60794451,-2.220877724657065e-07,-0.0060433161570754386,model W_v sensitivity; not ab initio screening
model_dielectric,40.0,dielectric,2.0,0.0,647.60794451,-3.9526852081909184e-08,-0.0010755804390888658,model W_v sensitivity; not ab initio screening
