screening_family,R_bohr,model,epsilon,kappa,C6,E_Ha,E_meV,note
model_dielectric,8.0,dielectric,1.0,0.0,647.69960692,-0.002470777919464111,-67.23329229459657,model W_v sensitivity; not ab initio screening
model_dielectric,10.0,dielectric,1.0,0.0,647.69960692,-0.00064769960692,-17.624804175274722,model W_v sensitivity; not ab initio screening
model_dielectric,12.0,dielectric,1.0,0.0,647.69960692,-0.00021691328785418805,-5.902511257687489,model W_v sensitivity; not ab initio screening
model_dielectric,15.0,dielectric,1.0,0.0,647.69960692,-5.6862516931248294e-05,-1.5473079111352297,model W_v sensitivity; not ab initio screening
model_dielectric,20.0,dielectric,1.0,0.0,647.69960692,-1.0120306358125e-05,-0.27538756523866753,model W_v sensitivity; not ab initio screening
model_dielectric,30.0,dielectric,1.0,0.0,647.69960692,-8.884768270507546e-07,-0.024176686111487964,model W_v sensitivity; not ab initio screening
model_dielectric,40.0,dielectric,1.0,0.0,647.69960692,-1.5812978684570312e-07,-0.00430293070685418,model W_v sensitivity; not ab initio screening
model_dielectric,8.0,dielectric,2.0,0.0,647.69960692,-0.0006176944798660278,-16.80832307364914,model W_v sensitivity; not ab initio screening
model_dielectric,10.0,dielectric,2.0,0.0,647.69960692,-0.00016192490173,-4.4062010438186805,model W_v sensitivity; not ab initio screening
model_dielectric,12.0,dielectric,2.0,0.0,647.69960692,-5.422832196354701e-05,-1.4756278144218722,model W_v sensitivity; not ab initio screening
model_dielectric,15.0,dielectric,2.0,0.0,647.69960692,-1.4215629232812073e-05,-0.3868269777838074,model W_v sensitivity; not ab initio screening
model_dielectric,20.0,dielectric,2.0,0.0,647.69960692,-2.53007658953125e-06,-0.06884689130966688,model W_v sensitivity; not ab initio screening
model_dielectric,30.0,dielectric,2.0,0.0,647.69960692,-2.2211920676268865e-07,-0.006044171527871991,model W_v sensitivity; not ab initio screening
model_dielectric,40.0,dielectric,2.0,0.0,647.69960692,-3.953244671142578e-08,-0.001075732676713545,model W_v sensitivity; not ab initio screening
model_dielectric,8.0,dielectric,4.0,0.0,647.69960692,-0.00015442361996650695,-4.202080768412285,model W_v sensitivity; not ab initio screening
model_dielectric,10.0,dielectric,4.0,0.0,647.69960692,-4.04812254325e-05,-1.1015502609546701,model W_v sensitivity; not ab initio screening
model_dielectric,12.0,dielectric,4.0,0.0,647.69960692,-1.3557080490886753e-05,-0.36890695360546805,model W_v sensitivity; not ab initio screening
model_dielectric,15.0,dielectric,4.0,0.0,647.69960692,-3.5539073082030184e-06,-0.09670674444595186,model W_v sensitivity; not ab initio screening
model_dielectric,20.0,dielectric,4.0,0.0,647.69960692,-6.325191473828125e-07,-0.01721172282741672,model W_v sensitivity; not ab initio screening
model_dielectric,30.0,dielectric,4.0,0.0,647.69960692,-5.552980169067216e-08,-0.0015110428819679978,model W_v sensitivity; not ab initio screening
model_dielectric,40.0,dielectric,4.0,0.0,647.69960692,-9.883111677856445e-09,-0.00026893316917838626,model W_v sensitivity; not ab initio screening
model_yukawa,8.0,yukawa,1.0,0.05,647.69960692,-0.002346501986875062,-63.85157189183558,model W_v sensitivity; not ab initio screening
model_yukawa,10.0,yukawa,1.0,0.05,647.69960692,-0.0005981704587000718,-16.277047392627466,model W_v sensitivity; not ab initio screening
model_yukawa,12.0,yukawa,1.0,0.05,647.69960692,-0.0001937516242440551,-5.272250283092516,model W_v sensitivity; not ab initio screening
model_yukawa,15.0,yukawa,1.0,0.05,647.69960692,-4.785162262789437e-05,-1.302108985824893,model W_v sensitivity; not ab initio screening
model_yukawa,20.0,yukawa,1.0,0.05,647.69960692,-7.532989900799767e-06,-0.20498309777778928,model W_v sensitivity; not ab initio screening
model_yukawa,30.0,yukawa,1.0,0.05,647.69960692,-4.796695567649574e-07,-0.013052473579573122,model W_v sensitivity; not ab initio screening
model_yukawa,40.0,yukawa,1.0,0.05,647.69960692,-5.695954544389534e-08,-0.001549948191469742,model W_v sensitivity; not ab initio screening
model_yukawa,8.0,yukawa,1.0,0.1,647.69960692,-0.0020334108099600325,-55.331926946589746,model W_v sensitivity; not ab initio screening
model_yukawa,10.0,yukawa,1.0,0.1,647.69960692,-0.00048211135365118507,-13.118918257778514,model W_v sensitivity; not ab initio screening
model_yukawa,12.0,yukawa,1.0,0.1,647.69960692,-0.00014360165843164954,-3.9076001931480553,model W_v sensitivity; not ab initio screening
model_yukawa,15.0,yukawa,1.0,0.1,647.69960692,-3.0698851632957273e-05,-0.8353583090926798,model W_v sensitivity; not ab initio screening
model_yukawa,20.0,yukawa,1.0,0.1,647.69960692,-3.6454109084093016e-06,-0.09919668425406349,model W_v sensitivity; not ab initio screening
model_yukawa,30.0,yukawa,1.0,0.1,647.69960692,-1.1782379198987777e-07,-0.003206148712803511,model W_v sensitivity; not ab initio screening
model_yukawa,40.0,yukawa,1.0,0.1,647.69960692,-6.418642695235757e-09,-0.00017466016555504963,model W_v sensitivity; not ab initio screening
model_yukawa,8.0,yukawa,1.0,0.2,647.69960692,-0.0012377391192460046,-33.68059724557203,model W_v sensitivity; not ab initio screening
model_yukawa,10.0,yukawa,1.0,0.2,647.69960692,-0.0002333062981381953,-6.348587792260063,model W_v sensitivity; not ab initio screening
model_yukawa,12.0,yukawa,1.0,0.2,647.69960692,-5.381416131937006e-05,-1.464357929165286,model W_v sensitivity; not ab initio screening
model_yukawa,15.0,yukawa,1.0,0.2,647.69960692,-7.540722687352177e-06,-0.2051935176194247,model W_v sensitivity; not ab initio screening
model_yukawa,20.0,yukawa,1.0,0.2,647.69960692,-4.1079313249508845e-07,-0.011178250595523177,model W_v sensitivity; not ab initio screening
model_yukawa,30.0,yukawa,1.0,0.2,647.69960692,-2.3637427983460052e-09,-6.432071827196568e-05,model W_v sensitivity; not ab initio screening
model_yukawa,40.0,yukawa,1.0,0.2,647.69960692,-2.0422915622204803e-11,-5.557358452650372e-07,model W_v sensitivity; not ab initio screening
