atom,state,q,delta_Ha,tau_q_real,tau_q_imag,F_q_real,F_q_imag,dipole_from_tau_z,osc,source
Mg,1,0.0001,2.025580310279456,0.0,1.445602104741114e-07,0.0,181.65971809074506,0.001445602104741114,0.0702791292639874,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,1,0.0002,2.025580310279456,0.0,2.891204209482228e-07,0.0,90.82985904537253,0.001445602104741114,0.0702791292639874,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,1,0.0005,2.025580310279456,0.0,7.22801052370557e-07,0.0,36.33194361814901,0.001445602104741114,0.0702791292639874,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,1,0.001,2.025580310279456,0.0,1.445602104741114e-06,0.0,18.165971809074506,0.001445602104741114,0.0702791292639874,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,2,0.0001,2.0255803102795347,-0.0,-1.2450239461071482e-05,0.0,-15645.432330534364,-0.12450239461071481,0.07027912926397964,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,2,0.0002,2.0255803102795347,-0.0,-2.4900478922142963e-05,0.0,-7822.716165267182,-0.12450239461071481,0.07027912926397964,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,2,0.0005,2.0255803102795347,-0.0,-6.22511973053574e-05,0.0,-3129.086466106873,-0.12450239461071481,0.07027912926397964,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,2,0.001,2.0255803102795347,-0.0,-0.0001245023946107148,0.0,-1564.5432330534366,-0.12450239461071481,0.07027912926397964,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,3,0.0001,2.0255803102796928,-0.0,-1.911563860358859e-05,0.0,-24021.41992228455,-0.19115638603588592,0.07027912926396732,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,3,0.0002,2.0255803102796928,-0.0,-3.823127720717718e-05,0.0,-12010.709961142275,-0.19115638603588592,0.07027912926396732,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,3,0.0005,2.0255803102796928,-0.0,-9.557819301794296e-05,0.0,-4804.28398445691,-0.19115638603588592,0.07027912926396732,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,3,0.001,2.0255803102796928,-0.0,-0.00019115638603588593,0.0,-2402.141992228455,-0.19115638603588592,0.07027912926396732,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,20,0.0001,2.5053857537276487,0.0,9.079709708608163e-06,0.0,11409.89972691653,0.09079709708608164,0.13418524378377025,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,20,0.0002,2.5053857537276487,0.0,1.8159419417216327e-05,0.0,5704.949863458265,0.09079709708608164,0.13418524378377025,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,20,0.0005,2.5053857537276487,0.0,4.539854854304082e-05,0.0,2281.9799453833066,0.09079709708608164,0.13418524378377025,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,20,0.001,2.5053857537276487,0.0,9.079709708608164e-05,0.0,1140.9899726916533,0.09079709708608164,0.13418524378377025,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,21,0.0001,2.5053857537277904,-0.0,-1.2524870281279718e-05,0.0,-15739.216185133395,-0.12524870281279718,0.1341852437838281,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
Mg,21,0.0002,2.5053857537277904,-0.0,-2.5049740562559437e-05,0.0,-7869.608092566697,-0.12524870281279718,0.1341852437838281,EFT_CORE_MULTIPOLE_FORM_FACTOR_SMALL_Q
