atom,channel,delta_Ha,osc,is_core,source
Al,rpa_001,0.103792227770,0.152347160451,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_005,0.129532557097,0.015122878408,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_006,0.129532688394,0.015121270396,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_007,0.147646787685,0.094476314452,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_008,0.147648309929,0.094480357179,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_009,0.148280943195,0.118619019071,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_010,0.151900205051,0.000000391600,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_011,0.151913780163,0.000000495331,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_012,0.206443026343,0.305242205619,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_013,0.228589305360,0.473001046857,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_014,0.228589548595,0.473004342888,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_017,0.288978927764,0.018495789287,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_018,0.288978976619,0.018492846033,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_019,0.296516633027,0.009760895018,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_020,0.298589429991,0.027926339082,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_021,0.301754641793,0.049167738230,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_022,0.301757894085,0.049226387925,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_023,0.303010200980,0.000000209702,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_024,0.303020174598,0.000000427485,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_031,0.317158729435,0.142908995151,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_033,0.320587580147,0.269842838005,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_034,0.320591670904,0.269780526099,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_038,0.328890780954,0.161020593852,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_054,0.471212910010,0.000256973273,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_055,0.471213881245,0.000257115179,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_056,0.481277222949,0.000321791980,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_065,0.509093552516,0.004610198135,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_066,0.509094916260,0.004609833612,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_069,0.516486609209,0.002301216509,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_070,0.521970990346,0.000227180580,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_071,0.521970999455,0.000227154211,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_074,0.522634165325,0.000069938986,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_075,0.524819179734,0.000000103157,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_076,0.524820257422,0.000000102569,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_077,0.526693551444,0.000624256944,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_081,0.809030269468,0.000005793980,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_082,0.809030425330,0.000005795279,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Al,rpa_083,0.815753877391,0.000003180048,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
