atom,channel,delta_Ha,osc,is_core,source
Cl,rpa_001,0.299564314918,0.545931981105,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_002,0.439579455581,0.041308649109,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_003,0.541660076662,0.001227367837,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_004,0.547691018812,0.009828793167,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_005,0.574307004146,0.008814407940,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_006,0.574440547530,0.002343322774,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_007,0.579049261233,0.082294651564,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_008,0.583867118620,0.316845992298,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_009,0.584979512942,0.133779528794,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_010,0.585874802270,0.000000489197,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_011,0.590410808621,0.008267127972,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_012,0.590697404602,0.000029991630,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_013,0.590897091570,0.000000011545,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_014,0.601444964223,0.000258643323,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_015,0.601479771067,0.000000026972,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_016,0.607983034755,0.000137265626,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_017,0.608001977933,0.000000093602,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_018,0.618335586564,0.157217635749,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_019,0.622320659422,0.011191512820,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_020,0.622618544443,0.002048671875,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_021,0.623245062400,0.000001618501,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_022,0.633065613316,0.010669735437,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_023,0.634319590090,0.001435692982,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_024,0.634583856415,0.000000448839,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_025,0.635951244817,0.013751216635,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_026,0.638898473160,0.000000018311,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_027,0.638900194335,0.000006664775,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_028,0.640988715029,0.000001216389,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_029,0.647419474486,0.000000001859,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_030,0.647575157503,0.000049571931,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_031,0.651922870551,0.000051811759,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_032,0.652002815362,0.000000006890,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_033,0.652175382533,0.000213931376,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_034,0.660640593075,0.000006177500,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_035,0.670688907862,0.000154310081,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
Cl,rpa_036,0.670888409951,0.000000000411,true,"PySCF_PSP_{'Cl': [[2, 5], 0.41, 1, [-6.39208181], 2, [0.33953864, 2, [[15.21898983, -4.93452321], [-4.93452321, 6.37044208]]], [0.37847416, 1, [[4.33877527]]]]}_TDDFT_PBE"
