atom,channel,delta_Ha,osc,is_core,source
Ge,rpa_001,0.208874968425,0.006380357185,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_006,0.249548412242,0.102517464657,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_007,0.249548416442,0.102517461735,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_008,0.259577301201,0.175368532399,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_009,0.260444409906,0.000203465538,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_010,0.260444430147,0.000203473908,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_012,0.330655160953,0.920693323794,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_013,0.330655161828,0.920693939308,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_014,0.333346332233,0.210127532883,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_015,0.333346336653,0.210126837709,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_016,0.365257087164,1.019361570016,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_034,0.644988318246,0.002239851149,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_035,0.668697717581,0.005836929340,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_036,0.668697717814,0.005836929641,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_038,0.711901665428,0.005912722071,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_039,0.716409153241,0.014009538020,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_040,0.716409156913,0.014009535941,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_045,0.769902137656,0.000025085520,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_046,0.769902145427,0.000025085346,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
Ge,rpa_048,0.808309414024,0.180991791358,true,"PySCF_PSP_{'Ge': [[2, 2], 0.54, 0, [], 3, [0.42186518, 3, [[7.51024121, -0.58810836, -1.4479758], [-0.58810836, -1.59588819, 3.73865744], [-1.4479758, 3.73865744, -2.96746735]]], [0.56752887, 2, [[0.91385969, 0.54687534], [0.54687534, -0.64707163]]], [0.81391394, 1, [[0.19717731]]]]}_TDDFT_PBE"
