atom,channel,delta_Ha,osc,is_core,source
Sn,rpa_001,0.127161863265,0.000386174036,true,PySCF_TDDFT_PBE_ano
Sn,rpa_002,0.174282050765,0.117837161893,true,PySCF_TDDFT_PBE_ano
Sn,rpa_003,0.174291434531,0.117847093690,true,PySCF_TDDFT_PBE_ano
Sn,rpa_004,0.178153071988,0.026578231639,true,PySCF_TDDFT_PBE_ano
Sn,rpa_005,0.178153288567,0.026627162436,true,PySCF_TDDFT_PBE_ano
Sn,rpa_012,0.192387985067,0.006617109563,true,PySCF_TDDFT_PBE_ano
Sn,rpa_015,0.200781479914,0.000000019765,true,PySCF_TDDFT_PBE_ano
Sn,rpa_016,0.200782529394,0.000000003322,true,PySCF_TDDFT_PBE_ano
Sn,rpa_017,0.208883114544,0.000905814811,true,PySCF_TDDFT_PBE_ano
Sn,rpa_018,0.208905985559,0.000881731252,true,PySCF_TDDFT_PBE_ano
Sn,rpa_019,0.209626094473,0.000000001158,true,PySCF_TDDFT_PBE_ano
Sn,rpa_020,0.236310698012,0.746136979690,true,PySCF_TDDFT_PBE_ano
Sn,rpa_021,0.236313708387,0.746107917274,true,PySCF_TDDFT_PBE_ano
Sn,rpa_022,0.242691659878,0.911669722683,true,PySCF_TDDFT_PBE_ano
Sn,rpa_023,0.321483900112,0.008026758579,true,PySCF_TDDFT_PBE_ano
Sn,rpa_027,0.329891989526,0.012184653009,true,PySCF_TDDFT_PBE_ano
Sn,rpa_028,0.329892773286,0.012182883729,true,PySCF_TDDFT_PBE_ano
Sn,rpa_045,0.359681789706,0.014057755065,true,PySCF_TDDFT_PBE_ano
Sn,rpa_046,0.359939305810,0.020327157114,true,PySCF_TDDFT_PBE_ano
Sn,rpa_047,0.359945544793,0.020325784926,true,PySCF_TDDFT_PBE_ano
Sn,rpa_055,0.394566506885,0.056933668053,true,PySCF_TDDFT_PBE_ano
Sn,rpa_056,0.394572112729,0.056946539993,true,PySCF_TDDFT_PBE_ano
Sn,rpa_064,0.410787109050,0.000000010373,true,PySCF_TDDFT_PBE_ano
Sn,rpa_065,0.410788564459,0.000000000844,true,PySCF_TDDFT_PBE_ano
Sn,rpa_066,0.421406300649,0.000002575362,true,PySCF_TDDFT_PBE_ano
Sn,rpa_067,0.421434933048,0.000003678460,true,PySCF_TDDFT_PBE_ano
Sn,rpa_068,0.422073445419,0.000000000978,true,PySCF_TDDFT_PBE_ano
Sn,rpa_070,0.430614573591,0.198068171310,true,PySCF_TDDFT_PBE_ano
Sn,rpa_071,0.440768672922,0.210385782946,true,PySCF_TDDFT_PBE_ano
Sn,rpa_072,0.440771218565,0.210364494383,true,PySCF_TDDFT_PBE_ano
Sn,rpa_073,0.481264667268,0.001457870285,true,PySCF_TDDFT_PBE_ano
Sn,rpa_074,0.482874359393,0.001155816631,true,PySCF_TDDFT_PBE_ano
Sn,rpa_075,0.482878442406,0.001154149586,true,PySCF_TDDFT_PBE_ano
Sn,rpa_080,0.512707014108,0.000000002601,true,PySCF_TDDFT_PBE_ano
Sn,rpa_081,0.512707447507,0.000000000820,true,PySCF_TDDFT_PBE_ano
Sn,rpa_082,0.513079273237,0.000033868059,true,PySCF_TDDFT_PBE_ano
Sn,rpa_083,0.513100502579,0.000034195460,true,PySCF_TDDFT_PBE_ano
Sn,rpa_084,0.514480227585,0.000128560677,true,PySCF_TDDFT_PBE_ano
Sn,rpa_086,0.514626755561,0.000000000188,true,PySCF_TDDFT_PBE_ano
Sn,rpa_088,0.549409085174,0.000780475673,true,PySCF_TDDFT_PBE_ano
Sn,rpa_092,0.566916255094,0.000308220965,true,PySCF_TDDFT_PBE_ano
Sn,rpa_093,0.566916298255,0.000308230715,true,PySCF_TDDFT_PBE_ano
Sn,rpa_097,0.581379535434,0.002706784243,true,PySCF_TDDFT_PBE_ano
Sn,rpa_098,0.587605302719,0.004329939045,true,PySCF_TDDFT_PBE_ano
Sn,rpa_099,0.587605821539,0.004330180281,true,PySCF_TDDFT_PBE_ano
