atom,channel,delta_Ha,osc,is_core,source
Sn,rpa_001,0.127161547478,0.000385999397,true,PySCF_TDDFT_PBE_ano
Sn,rpa_002,0.174275447207,0.117831928354,true,PySCF_TDDFT_PBE_ano
Sn,rpa_003,0.174293300459,0.117853208399,true,PySCF_TDDFT_PBE_ano
Sn,rpa_004,0.178152930435,0.026541354162,true,PySCF_TDDFT_PBE_ano
Sn,rpa_005,0.178153304142,0.026632471626,true,PySCF_TDDFT_PBE_ano
Sn,rpa_012,0.192386947182,0.006614798456,true,PySCF_TDDFT_PBE_ano
Sn,rpa_013,0.199873587800,0.000000000166,true,PySCF_TDDFT_PBE_ano
Sn,rpa_015,0.200780847988,0.000000008924,true,PySCF_TDDFT_PBE_ano
Sn,rpa_016,0.200783055389,0.000000003055,true,PySCF_TDDFT_PBE_ano
Sn,rpa_017,0.208866581922,0.000923486580,true,PySCF_TDDFT_PBE_ano
Sn,rpa_018,0.208910687985,0.000876861813,true,PySCF_TDDFT_PBE_ano
Sn,rpa_019,0.209626188954,0.000000002131,true,PySCF_TDDFT_PBE_ano
Sn,rpa_020,0.236308550846,0.746157902412,true,PySCF_TDDFT_PBE_ano
Sn,rpa_021,0.236314361574,0.746102538650,true,PySCF_TDDFT_PBE_ano
Sn,rpa_022,0.242691218458,0.911674052169,true,PySCF_TDDFT_PBE_ano
Sn,rpa_023,0.321483305869,0.008028891973,true,PySCF_TDDFT_PBE_ano
Sn,rpa_027,0.329892276266,0.012184054832,true,PySCF_TDDFT_PBE_ano
Sn,rpa_028,0.329893577836,0.012181369337,true,PySCF_TDDFT_PBE_ano
Sn,rpa_045,0.359674630578,0.014055939679,true,PySCF_TDDFT_PBE_ano
Sn,rpa_046,0.359934044642,0.020327578922,true,PySCF_TDDFT_PBE_ano
Sn,rpa_047,0.359945407132,0.020324113134,true,PySCF_TDDFT_PBE_ano
Sn,rpa_055,0.394562136333,0.056925875436,true,PySCF_TDDFT_PBE_ano
Sn,rpa_056,0.394572153014,0.056950444424,true,PySCF_TDDFT_PBE_ano
Sn,rpa_062,0.409756311699,0.000000000118,true,PySCF_TDDFT_PBE_ano
Sn,rpa_064,0.410786238495,0.000000004885,true,PySCF_TDDFT_PBE_ano
Sn,rpa_065,0.410789274097,0.000000002438,true,PySCF_TDDFT_PBE_ano
Sn,rpa_066,0.421385925344,0.000001920557,true,PySCF_TDDFT_PBE_ano
Sn,rpa_067,0.421440957640,0.000003964900,true,PySCF_TDDFT_PBE_ano
Sn,rpa_068,0.422073575611,0.000000001549,true,PySCF_TDDFT_PBE_ano
Sn,rpa_070,0.430613985475,0.198065154009,true,PySCF_TDDFT_PBE_ano
Sn,rpa_071,0.440767036124,0.210401102886,true,PySCF_TDDFT_PBE_ano
Sn,rpa_072,0.440771988816,0.210360556617,true,PySCF_TDDFT_PBE_ano
Sn,rpa_073,0.481263693094,0.001458815236,true,PySCF_TDDFT_PBE_ano
Sn,rpa_074,0.482875479861,0.001155726057,true,PySCF_TDDFT_PBE_ano
Sn,rpa_075,0.482882215582,0.001152776523,true,PySCF_TDDFT_PBE_ano
Sn,rpa_080,0.512706774272,0.000000000723,true,PySCF_TDDFT_PBE_ano
Sn,rpa_081,0.512707662937,0.000000000506,true,PySCF_TDDFT_PBE_ano
Sn,rpa_082,0.513062476446,0.000033640785,true,PySCF_TDDFT_PBE_ano
Sn,rpa_083,0.513102225569,0.000034277003,true,PySCF_TDDFT_PBE_ano
Sn,rpa_084,0.514430014925,0.000127570543,true,PySCF_TDDFT_PBE_ano
Sn,rpa_088,0.549408231640,0.000780069967,true,PySCF_TDDFT_PBE_ano
Sn,rpa_092,0.566916228845,0.000308231975,true,PySCF_TDDFT_PBE_ano
Sn,rpa_093,0.566916253226,0.000308229647,true,PySCF_TDDFT_PBE_ano
Sn,rpa_097,0.581376273619,0.002707884213,true,PySCF_TDDFT_PBE_ano
Sn,rpa_098,0.587604770235,0.004329766166,true,PySCF_TDDFT_PBE_ano
Sn,rpa_099,0.587605726045,0.004330226499,true,PySCF_TDDFT_PBE_ano
Sn,rpa_119,0.806914784800,0.000266848946,true,PySCF_TDDFT_PBE_ano
Sn,rpa_120,0.809258285628,0.000218241727,true,PySCF_TDDFT_PBE_ano
