atom,channel,delta_Ha,osc,is_core,source
Sn,rpa_005,0.118638569953,0.000000000356,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_006,0.119017876741,0.002394387486,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_007,0.119031290349,0.002384682392,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_008,0.120134529826,0.015842613087,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_009,0.173159186260,0.000005384998,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_010,0.173165497056,0.000005382526,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_013,0.181326722290,0.000019438691,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_020,0.193428687573,0.000000022152,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_021,0.193432187105,0.000000021587,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_022,0.194584109950,0.000035726757,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_027,0.204793797094,0.000000000296,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_033,0.206623883138,0.000000000226,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_034,0.206624285076,0.000000000134,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_035,0.208319476524,0.000065281403,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_036,0.208320260952,0.000065268642,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_037,0.209376115691,0.000000000251,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_038,0.209991017786,0.000000000109,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_039,0.212001540544,0.000006171623,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_040,0.212002354040,0.000006178649,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_047,0.218087500188,0.000000000273,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_049,0.222662974607,0.000099108282,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_050,0.222708541553,0.000099855654,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_051,0.224482061392,0.000000000489,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_052,0.224484238090,0.000000000540,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_053,0.224652341426,0.000000001549,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_054,0.225607152336,0.000000000372,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_055,0.225608429331,0.000000001244,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_056,0.227060897259,0.000000000341,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_057,0.227062803980,0.000000000700,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_058,0.228576719536,0.000000000419,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_059,0.228580333439,0.000000001433,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_060,0.229769517764,0.000004678588,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_061,0.234846926877,0.000137057225,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_062,0.234853124872,0.000137829309,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_065,0.239284508596,0.000000000567,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_066,0.239284891258,0.000000001129,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_067,0.240813375697,0.000310588666,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_068,0.240826887564,0.000310134935,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_069,0.242771714940,0.000000000575,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_070,0.242776646385,0.000000001436,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_071,0.245871527313,0.000050852399,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_072,0.245879472567,0.000050504310,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_073,0.248401877374,0.000022731762,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_074,0.248425760667,0.000023610484,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_077,0.279757746705,0.000027986931,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_078,0.281770998040,0.000000047983,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_079,0.281949787126,0.000000335831,true,PySCF_TDDFT_PBE_def2-TZVPP
Sn,rpa_080,0.282628240512,0.000000583094,true,PySCF_TDDFT_PBE_def2-TZVPP
