atom,channel,delta_Ha,osc,is_core,source
Hg,rpa_001,0.245876385887,0.331282613670,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_002,0.245876385887,0.331282613670,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_003,0.245876385887,0.331282613670,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_016,0.361791580281,0.392234979668,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_017,0.361791580281,0.392234979668,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_018,0.361791580281,0.392234979668,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_049,0.668717709786,0.000287795341,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_050,0.668717709786,0.000287795341,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_051,0.668717709786,0.000287795341,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_065,0.812682757634,0.155411122117,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_066,0.812682757634,0.155411122117,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
Hg,rpa_067,0.812682757634,0.155411122117,true,"PySCF_PSP_{'Hg': [[2, 0, 10], 0.57, 1, [8.46784734], 3, [0.52978669, 2, [[7.37124306, -2.96994403], [-2.96994403, 3.83418126]]], [0.63516596, 2, [[3.55116141, -1.72290935], [-1.72290935, 2.03857383]]], [0.40798543, 2, [[-8.61398015, 5.0075612], [5.0075612, -5.67804069]]]]}_TDDFT_PBE"
