atom,psp,basis,xc,nstates,method,active_electrons,active_shells,alpha0_psp,C6_psp,n_channels,status,note
Ne,gth-lda,gth-dzvp,lda,50,TDDFT,8,2s;2p,0.59538977,0.78041871,9,ok,
Ar,gth-lda,gth-dzvp,lda,50,TDDFT,8,3s;3p,4.13630183,16.82132287,9,ok,
Mg,gth-lda,gth-dzvp,lda,50,TDDFT,10,2s;2p;3s,55.88372186,441.20029091,12,ok,
Kr,gth-lda,gth-dzvp,lda,50,TDDFT,,,,,,unavailable,BasisNotFoundError: Basis for Kr not found in /home/footman/.local/lib/python3.12/site-packages/pyscf/pbc/gto/basis/gth-dzvp.dat
Ca,gth-lda,gth-dzvp,lda,50,TDDFT,,,,,,unavailable,BasisNotFoundError: Basis for Ca not found in /home/footman/.local/lib/python3.12/site-packages/pyscf/pbc/gto/basis/gth-dzvp.dat
Ne,gth-lda,gth-qzv2p,lda,100,TDDFT,8,2s;2p,1.51581275,2.6915207,24,ok,
Ar,gth-lda,gth-qzv2p,lda,100,TDDFT,8,3s;3p,8.04045193,41.38796713,24,ok,
Mg,gth-lda,gth-qzv2p,lda,100,TDDFT,10,2s;2p;3s,69.51092457,603.24727147,27,ok,
Kr,gth-lda,gth-dzvp-molopt-sr,lda,100,TDDFT,8,4s;4p,2.84912313,4.29193875,9,ok,
Ca,gth-lda,gth-dzvp-molopt-sr,lda,100,TDDFT,10,3s;3p;4s,101.28663058,1110.27310668,12,ok,
Kr,GTH-PBE-q8,TZV2P-MOLOPT-PBE-GTH-q8,pbe,150,TDDFT,8,4s;4p,9.91897554,66.35553987,18,ok,
Ca,GTH-PBE-q10,TZV2P-MOLOPT-PBE-GTH-q10,pbe,150,TDDFT,10,3s;3p;4s,119.50291403,1424.67308291,24,ok,
Ne,gth-pbe,gth-qzv2p,pbe,100,TDDFT,8,2s;2p,1.53663821,2.73194826,24,ok,
Ar,gth-pbe,gth-qzv2p,pbe,100,TDDFT,8,3s;3p,8.09511178,41.83062218,24,ok,
Mg,gth-pbe,gth-qzv2p,pbe,100,TDDFT,10,2s;2p;3s,71.9616016,637.35175634,27,ok,
Ca,GTH-LDA-q2,cc-pVQZ,lda,100,TDDFT,2,4s,148.4185217,1972.55991054,18,ok,
Mg,GTH-PBE-q2,TZV2P-MOLOPT-SR-GTH-q2,pbe,20,TDDFT,2,3s,72.11681004,638.62015545,6,ok,
Mg,GTH-PBE-q2,TZV2P-MOLOPT-SR-GTH-q2,pbe,50,TDDFT,2,3s,72.11681004,638.62015545,6,ok,
Mg,GTH-PBE-q2,TZV2P-MOLOPT-SR-GTH-q2,pbe,100,TDDFT,2,3s,72.11681004,638.62015545,6,ok,
Be,GTH-LDA-q2,TZV2P-MOLOPT-PBE-GTH-q2,pbe,100,TDDFT,2,2s,36.79998772,209.84599821,6,ok,
Be,GTH-LDA-q2,TZV2P-MOLOPT-PBE-GTH-q2,lda,100,TDDFT,2,2s,37.42722118,216.52565417,6,ok,
Kr,GTH-PBE-q8,TZV2P-MOLOPT-PBE-GTH-q8,pbe,100,TDDFT,8,4s;4p,9.91897554,66.35553987,18,ok,
Ca,GTH-PBE-q10,TZV2P-MOLOPT-PBE-GTH-q10,pbe,100,TDDFT,10,3s;3p;4s,119.50291404,1424.67308305,24,ok,
Ca,GTH-PBE-q2,TZV2P-MOLOPT-PBE-GTH-q10,pbe,100,TDDFT,2,4s,122.90586076,1496.31224087,9,ok,
