element,q,basis_count,pseudo_count,basis_examples,pseudo_examples
Ag,1,2,3,GTH-LDA-q1;GTH-PADE-q1,GTH-LDA-q1;GTH-PADE-q1;GTH2-HF-q1
Al,3,33,6,DZVP-GTH-q3;DZVP-MOLOPT-GGA-GTH-q3;DZVP-MOLOPT-HYB-GTH-q3;DZVP-MOLOPT-MGGA-GTH-q3;DZVP-MOLOPT-PBE-GTH-q3;DZVP-MOLOPT-PBE0-GTH-q3;DZVP-MOLOPT-SCAN-GTH-q3;DZVP-MOLOPT-SR-GTH-q3,GTH-BLYP-q3;GTH-BP-q3;GTH-LDA-q3;GTH-PADE-q3;GTH-PBE-q3;GTH2-HF-q3
Au,1,2,3,GTH-LDA-q1;GTH-PADE-q1,GTH-LDA-q1;GTH-PADE-q1;GTH2-HF-q1
B,3,35,9,DZVP-GTH-q3;DZVP-MOLOPT-GGA-GTH-q3;DZVP-MOLOPT-HYB-GTH-q3;DZVP-MOLOPT-MGGA-GTH-q3;DZVP-MOLOPT-PBE-GTH-q3;DZVP-MOLOPT-PBE0-GTH-q3;DZVP-MOLOPT-SCAN-GTH-q3;DZVP-MOLOPT-SR-GTH-q3,GTH-BLYP-q3;GTH-BP-q3;GTH-LDA-q3;GTH-OLYP-q3;GTH-PADE-q3;GTH-PBE-q3;GTH-PBESOL-q3;GTH-PBESol-q3
Ba,2,3,4,GTH-BLYP-q2;GTH-LDA-q2;GTH-PADE-q2,GTH-BLYP-q2;GTH-LDA-q2;GTH-PADE-q2;GTH2-HF-q2
Be,2,14,3,DZVP-MOLOPT-GGA-GTH-q2;DZVP-MOLOPT-MGGA-GTH-q2;DZVP-MOLOPT-PBE-GTH-q2;DZVP-MOLOPT-SCAN-GTH-q2;GTH-LDA-q2;GTH-PADE-q2;TZV2P-MOLOPT-GGA-GTH-q2;TZV2P-MOLOPT-MGGA-GTH-q2,GTH-LDA-q2;GTH-PADE-q2;GTH2-HF-q2
Be,4,33,6,DZVP-GTH-q4;DZVP-MOLOPT-GGA-GTH-q4;DZVP-MOLOPT-HYB-GTH-q4;DZVP-MOLOPT-MGGA-GTH-q4;DZVP-MOLOPT-PBE-GTH-q4;DZVP-MOLOPT-PBE0-GTH-q4;DZVP-MOLOPT-SCAN-GTH-q4;DZVP-MOLOPT-SR-GTH-q4,GTH-BLYP-q4;GTH-BP-q4;GTH-LDA-q4;GTH-PADE-q4;GTH-PBE-q4;GTH2-HF-q4
C,4,44,10,DZVP-GTH-q4;DZVP-MOLOPT-GGA-GTH-q4;DZVP-MOLOPT-GTH-q4;DZVP-MOLOPT-HYB-GTH-q4;DZVP-MOLOPT-MGGA-GTH-q4;DZVP-MOLOPT-PBE-GTH-q4;DZVP-MOLOPT-PBE0-GTH-q4;DZVP-MOLOPT-SCAN-GTH-q4,GTH-BLYP-q4;GTH-BP-q4;GTH-HCTH120-q4;GTH-HCTH407-q4;GTH-HF-q4;GTH-LDA-q4;GTH-OLYP-q4;GTH-PADE-q4
Ca,2,4,5,GTH-GGA-q2;GTH-LDA-q2;GTH-PADE-q2;GTH-PBE-q2,GTH-GGA-q2;GTH-LDA-q2;GTH-PADE-q2;GTH-PBE-q2;GTH2-HF-q2
Cd,2,2,3,GTH-LDA-q2;GTH-PADE-q2,GTH-LDA-q2;GTH-PADE-q2;GTH2-HF-q2
Cs,1,3,4,GTH-BP-q1;GTH-LDA-q1;GTH-PADE-q1,GTH-BP-q1;GTH-LDA-q1;GTH-PADE-q1;GTH2-HF-q1
Cu,1,2,3,GTH-LDA-q1;GTH-PADE-q1,GTH-LDA-q1;GTH-PADE-q1;GTH2-HF-q1
Ga,3,4,5,GTH-BLYP-q3;GTH-LDA-q3;GTH-PADE-q3;GTH-PBE-q3,GTH-BLYP-q3;GTH-LDA-q3;GTH-PADE-q3;GTH-PBE-q3;GTH2-HF-q3
Ge,4,27,6,DZVP-MOLOPT-GGA-GTH-q4;DZVP-MOLOPT-HYB-GTH-q4;DZVP-MOLOPT-MGGA-GTH-q4;DZVP-MOLOPT-PBE-GTH-q4;DZVP-MOLOPT-PBE0-GTH-q4;DZVP-MOLOPT-SCAN-GTH-q4;DZVP-MOLOPT-SR-GTH-q4;GTH-BLYP-q4,GTH-BLYP-q4;GTH-BP-q4;GTH-LDA-q4;GTH-PADE-q4;GTH-PBE-q4;GTH2-HF-q4
H,1,45,10,DZV-GTH-q1;DZVP-GTH-q1;DZVP-MOLOPT-GGA-GTH-q1;DZVP-MOLOPT-GTH-q1;DZVP-MOLOPT-HYB-GTH-q1;DZVP-MOLOPT-MGGA-GTH-q1;DZVP-MOLOPT-PBE-GTH-q1;DZVP-MOLOPT-PBE0-GTH-q1,GTH-BLYP-q1;GTH-BP-q1;GTH-HCTH120-q1;GTH-HCTH407-q1;GTH-HF-q1;GTH-LDA-q1;GTH-OLYP-q1;GTH-PADE-q1
He,2,32,6,DZV-GTH-q2;DZVP-GTH-q2;DZVP-MOLOPT-GGA-GTH-q2;DZVP-MOLOPT-HYB-GTH-q2;DZVP-MOLOPT-MGGA-GTH-q2;DZVP-MOLOPT-PBE-GTH-q2;DZVP-MOLOPT-PBE0-GTH-q2;DZVP-MOLOPT-SCAN-GTH-q2,GTH-BLYP-q2;GTH-BP-q2;GTH-LDA-q2;GTH-PADE-q2;GTH-PBE-q2;GTH2-HF-q2
Hg,2,2,3,GTH-LDA-q2;GTH-PADE-q2,GTH-LDA-q2;GTH-PADE-q2;GTH2-HF-q2
In,3,4,5,GTH-BLYP-q3;GTH-LDA-q3;GTH-PADE-q3;GTH-PBE-q3,GTH-BLYP-q3;GTH-LDA-q3;GTH-PADE-q3;GTH-PBE-q3;GTH2-HF-q3
