atom,alpha_case,alpha0_target,alpha0_psp,alpha0_core_unconstrained,alpha0_corrected,local_field_scale,C6_model,C6_ref,reference_label,error_pct,within_tolerance,tolerance_pct,alpha_reference_source,c6_reference_source
Zn,low,37.18000000,37.73690531,3.60822905,37.73690531,0.00000000,244.46353337,225.00000000,Group XII present calculation,8.65045928,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3
Zn,low,37.18000000,37.73690531,3.60822905,37.73690531,0.00000000,244.46353337,257.50000000,Group XII measurement,-5.06270549,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3 citing Goebel/Hohm
Zn,low,37.18000000,37.73690531,3.60822905,37.73690531,0.00000000,244.46353337,276.00000000,Benchmark atom data,-11.42625603,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:1604.02751 Table 2
Zn,low,37.18000000,37.73690531,3.60822905,37.73690531,0.00000000,244.46353337,359.00000000,CCSD(T)/QDO table reference,-31.90430825,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2104.13335 Table I / QDO reference table
Zn,center,37.95000000,37.73690531,3.60822905,37.95000000,0.05905797,248.56294416,225.00000000,Group XII present calculation,10.47241963,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3
Zn,center,37.95000000,37.73690531,3.60822905,37.95000000,0.05905797,248.56294416,257.50000000,Group XII measurement,-3.47070130,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3 citing Goebel/Hohm
Zn,center,37.95000000,37.73690531,3.60822905,37.95000000,0.05905797,248.56294416,276.00000000,Benchmark atom data,-9.94096226,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:1604.02751 Table 2
Zn,center,37.95000000,37.73690531,3.60822905,37.95000000,0.05905797,248.56294416,359.00000000,CCSD(T)/QDO table reference,-30.76241110,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2104.13335 Table I / QDO reference table
Zn,high,38.72000000,37.73690531,3.60822905,38.72000000,0.27245906,263.79243208,225.00000000,Group XII present calculation,17.24108093,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3
Zn,high,38.72000000,37.73690531,3.60822905,38.72000000,0.27245906,263.79243208,257.50000000,Group XII measurement,2.44366295,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3 citing Goebel/Hohm
Zn,high,38.72000000,37.73690531,3.60822905,38.72000000,0.27245906,263.79243208,276.00000000,Benchmark atom data,-4.42303185,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:1604.02751 Table 2
Zn,high,38.72000000,37.73690531,3.60822905,38.72000000,0.27245906,263.79243208,359.00000000,CCSD(T)/QDO table reference,-26.52021390,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2104.13335 Table I / QDO reference table
Cd,low,44.47000000,37.43552126,4.61559796,44.47000000,1.52406661,477.78862579,493.00000000,Group XII present calculation,-3.08547144,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3
Cd,low,44.47000000,37.43552126,4.61559796,44.47000000,1.52406661,477.78862579,466.00000000,Group XII measurement,2.52974802,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3 citing Goebel et al.
Cd,low,44.47000000,37.43552126,4.61559796,44.47000000,1.52406661,477.78862579,686.00000000,CCSD(T)/QDO table reference,-30.35151228,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2104.13335 Table I / QDO reference table
Cd,center,45.68000000,37.43552126,4.61559796,45.68000000,1.78622116,521.83584522,493.00000000,Group XII present calculation,5.84905583,true,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3
Cd,center,45.68000000,37.43552126,4.61559796,45.68000000,1.78622116,521.83584522,466.00000000,Group XII measurement,11.98194103,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3 citing Goebel et al.
Cd,center,45.68000000,37.43552126,4.61559796,45.68000000,1.78622116,521.83584522,686.00000000,CCSD(T)/QDO table reference,-23.93063481,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2104.13335 Table I / QDO reference table
Cd,high,46.89000000,37.43552126,4.61559796,46.89000000,2.04837571,568.37590533,493.00000000,Group XII present calculation,15.28923029,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3
Cd,high,46.89000000,37.43552126,4.61559796,46.89000000,2.04837571,568.37590533,466.00000000,Group XII measurement,21.96907840,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2201.07145 Table 3 citing Goebel et al.
Cd,high,46.89000000,37.43552126,4.61559796,46.89000000,2.04837571,568.37590533,686.00000000,CCSD(T)/QDO table reference,-17.14636948,false,10.00000000,recommended group-12 static polarizability; arXiv:2411.05394v2 / PCCP 2025,arXiv:2104.13335 Table I / QDO reference table
