atom,pseudo_name,basis_name,basis_label,basis_block_name,basis_provenance,basis_file,pseudo_file,active_electrons,active_shells,can_build_pyscf_mol,can_run_rks,can_run_tddft_smoke,candidate_status,note
Zn,GTH-LDA-q2,TZV2P-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZV2P-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZV2P-MOLOPT-PBE-GTH-q12,adapted_from_q12,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,4s,true,true,true,tddft_smoke_ok,nelectron=2; nao=41; tddft_states=3; Zn q12 UZH TZV2P basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-LDA-q2,TZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZVP-MOLOPT-PBE-GTH-q12,adapted_from_q12,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,4s,true,true,true,tddft_smoke_ok,nelectron=2; nao=34; tddft_states=3; Zn q12 UZH TZVP basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-LDA-q2,DZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,DZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,DZVP-MOLOPT-PBE-GTH-q12,adapted_from_q12,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,4s,true,true,true,tddft_smoke_ok,nelectron=2; nao=25; tddft_states=3; Zn q12 UZH DZVP basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-PADE-q2,TZV2P-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZV2P-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZV2P-MOLOPT-PBE-GTH-q12,adapted_from_q12,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,4s,true,true,true,tddft_smoke_ok,nelectron=2; nao=41; tddft_states=3; Zn q12 UZH TZV2P basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-PADE-q2,TZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,TZVP-MOLOPT-PBE-GTH-q12,adapted_from_q12,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,4s,true,true,true,tddft_smoke_ok,nelectron=2; nao=34; tddft_states=3; Zn q12 UZH TZVP basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Zn,GTH-PADE-q2,DZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,DZVP-MOLOPT-PBE-GTH-q12-as-q2-adapted,DZVP-MOLOPT-PBE-GTH-q12,adapted_from_q12,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,4s,true,true,true,tddft_smoke_ok,nelectron=2; nao=25; tddft_states=3; Zn q12 UZH DZVP basis confirmed in public CP2K BASIS_MOLOPT_UZH and tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-LDA-q2,QZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,QZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,QZVPP-MOLOPT-PBE-GTH-q20,adapted_from_q20,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,5s,true,true,true,tddft_smoke_ok,nelectron=2; nao=88; tddft_states=3; Cd q20 UZH QZVPP basis tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-LDA-q2,TZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,TZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,TZVPP-MOLOPT-PBE-GTH-q20,adapted_from_q20,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,5s,true,true,true,tddft_smoke_ok,nelectron=2; nao=56; tddft_states=3; Cd q20 UZH TZVPP basis tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-LDA-q2,SVP-MOLOPT-PBE-GTH-q20-as-q2-adapted,SVP-MOLOPT-PBE-GTH-q20-as-q2-adapted,SVP-MOLOPT-PBE-GTH-q20,adapted_from_q20,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,5s,true,true,true,tddft_smoke_ok,nelectron=2; nao=31; tddft_states=3; Cd q20 UZH SVP basis tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-PADE-q2,QZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,QZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,QZVPP-MOLOPT-PBE-GTH-q20,adapted_from_q20,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,5s,true,true,true,tddft_smoke_ok,nelectron=2; nao=88; tddft_states=3; Cd q20 UZH QZVPP basis tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-PADE-q2,TZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,TZVPP-MOLOPT-PBE-GTH-q20-as-q2-adapted,TZVPP-MOLOPT-PBE-GTH-q20,adapted_from_q20,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,5s,true,true,true,tddft_smoke_ok,nelectron=2; nao=56; tddft_states=3; Cd q20 UZH TZVPP basis tested as a q2 candidate only; not library-native matched q2.
Cd,GTH-PADE-q2,SVP-MOLOPT-PBE-GTH-q20-as-q2-adapted,SVP-MOLOPT-PBE-GTH-q20-as-q2-adapted,SVP-MOLOPT-PBE-GTH-q20,adapted_from_q20,external_data/cp2k/BASIS_MOLOPT_UZH,external_data/cp2k/GTH_POTENTIALS,2,5s,true,true,true,tddft_smoke_ok,nelectron=2; nao=31; tddft_states=3; Cd q20 UZH SVP basis tested as a q2 candidate only; not library-native matched q2.
