atom,channel,delta_Ha,osc,is_core,source,from_shell,occ_mo,virt_mo,occ_energy_Ha,virt_energy_Ha,d2_mo
Zn,eft_dipole_3s_occ_002_to_virt_013,5.691418827516,0.002114379090,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,13,-5.637296216938,0.054122610578,0.000278627240
Zn,eft_dipole_3s_occ_002_to_virt_014,5.691418827516,0.002114379090,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,14,-5.637296216938,0.054122610578,0.000278627240
Zn,eft_dipole_3s_occ_002_to_virt_015,5.691418827516,0.002114379090,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,15,-5.637296216938,0.054122610578,0.000278627240
Zn,eft_dipole_3s_occ_002_to_virt_016,5.916994088823,0.007455424222,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,16,-5.637296216938,0.279697871885,0.000945001479
Zn,eft_dipole_3s_occ_002_to_virt_017,5.916994088823,0.007455424222,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,17,-5.637296216938,0.279697871885,0.000945001479
Zn,eft_dipole_3s_occ_002_to_virt_018,5.916994088823,0.007455424222,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,18,-5.637296216938,0.279697871885,0.000945001479
Zn,eft_dipole_3s_occ_002_to_virt_019,6.783579450843,0.033137425142,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,19,-5.637296216938,1.146283233905,0.003663710145
Zn,eft_dipole_3s_occ_002_to_virt_020,6.783579450843,0.033137425142,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,20,-5.637296216938,1.146283233905,0.003663710145
Zn,eft_dipole_3s_occ_002_to_virt_021,6.783579450843,0.033137425142,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,21,-5.637296216938,1.146283233905,0.003663710145
Zn,eft_dipole_3s_occ_002_to_virt_022,10.454248057860,0.148994557562,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,22,-5.637296216938,4.816951840922,0.010689044066
Zn,eft_dipole_3s_occ_002_to_virt_023,10.454248057860,0.148994557562,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,23,-5.637296216938,4.816951840922,0.010689044066
Zn,eft_dipole_3s_occ_002_to_virt_024,10.454248057860,0.148994557562,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3s,2,24,-5.637296216938,4.816951840922,0.010689044066
Zn,eft_dipole_3p_occ_010_to_virt_004,3.962953804743,0.013261601676,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,4,-3.838883788353,0.124070016390,0.002509794902
Zn,eft_dipole_3p_occ_010_to_virt_005,4.576627034128,0.067767403591,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,5,-3.838883788353,0.737743245775,0.011105460924
Zn,eft_dipole_3p_occ_010_to_virt_006,8.420009622001,0.150583487487,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,6,-3.838883788353,4.581125833648,0.013413003154
Zn,eft_dipole_3p_occ_010_to_virt_030,4.554264666405,0.000669668320,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,30,-3.838883788353,0.715380878052,0.000110281522
Zn,eft_dipole_3p_occ_010_to_virt_032,4.554264666405,0.000223222773,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,32,-3.838883788353,0.715380878052,0.000036760507
Zn,eft_dipole_3p_occ_010_to_virt_033,4.554264666405,0.000669668320,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,33,-3.838883788353,0.715380878052,0.000110281522
Zn,eft_dipole_3p_occ_010_to_virt_034,4.554264666405,0.000669668320,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,34,-3.838883788353,0.715380878052,0.000110281522
Zn,eft_dipole_3p_occ_010_to_virt_035,6.841092927446,0.035699417038,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,35,-3.838883788353,3.002209139093,0.003913784400
Zn,eft_dipole_3p_occ_010_to_virt_037,6.841092927446,0.011899805679,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,37,-3.838883788353,3.002209139093,0.001304594800
Zn,eft_dipole_3p_occ_010_to_virt_038,6.841092927446,0.035699417038,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,38,-3.838883788353,3.002209139093,0.003913784400
Zn,eft_dipole_3p_occ_010_to_virt_039,6.841092927446,0.035699417038,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,39,-3.838883788353,3.002209139093,0.003913784400
Zn,eft_dipole_3p_occ_010_to_virt_040,14.696174870768,0.203903412223,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,40,-3.838883788353,10.857291082415,0.010405943078
Zn,eft_dipole_3p_occ_010_to_virt_042,14.696174870768,0.067967804074,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,42,-3.838883788353,10.857291082415,0.003468647693
Zn,eft_dipole_3p_occ_010_to_virt_043,14.696174870768,0.203903412223,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,43,-3.838883788353,10.857291082415,0.010405943078
Zn,eft_dipole_3p_occ_010_to_virt_044,14.696174870768,0.203903412223,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,10,44,-3.838883788353,10.857291082415,0.010405943078
Zn,eft_dipole_3p_occ_011_to_virt_004,3.962953804743,0.013261601676,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,11,4,-3.838883788353,0.124070016390,0.002509794902
Zn,eft_dipole_3p_occ_011_to_virt_005,4.576627034128,0.067767403591,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,11,5,-3.838883788353,0.737743245775,0.011105460924
Zn,eft_dipole_3p_occ_011_to_virt_006,8.420009622001,0.150583487487,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,11,6,-3.838883788353,4.581125833648,0.013413003154
Zn,eft_dipole_3p_occ_011_to_virt_030,4.554264666405,0.000669668320,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,11,30,-3.838883788353,0.715380878052,0.000110281522
Zn,eft_dipole_3p_occ_011_to_virt_031,4.554264666405,0.000669668320,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,11,31,-3.838883788353,0.715380878052,0.000110281522
Zn,eft_dipole_3p_occ_011_to_virt_032,4.554264666405,0.000223222773,true,EFT_CORE_DIPOLE_WILSON_MO_APPROX,3p,11,32,-3.838883788353,0.715380878052,0.000036760507
