atom,channel,delta_Ha,osc,is_core,source
Zn,rpa_001,0.198717398674,0.397194925571,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_002,0.198717398674,0.397194925591,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_003,0.198717398771,0.397194925641,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_005,0.258837770654,0.104671999685,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_006,0.258837770654,0.104671999766,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_007,0.258837770691,0.104671999664,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_021,0.356134661418,0.105273706789,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_022,0.356134661418,0.105273706804,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_023,0.356134661445,0.105273706819,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_034,0.422966348970,0.004838048067,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_035,0.422966348993,0.004838048067,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_036,0.422966348993,0.004838048066,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_049,0.440116667096,0.050351269007,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_050,0.440116667096,0.050351269007,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
Zn,rpa_051,0.440116667096,0.050351269007,true,PySCF_TDDFT_PBE_aug-cc-pVTZ
