atom,channel,delta_Ha,osc,is_core,source
Zn,rpa_001,0.210731088367,0.506027774520,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_002,0.210731088367,0.506027774520,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_003,0.210731088368,0.506027774520,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_017,0.358347432010,0.091034725481,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_018,0.358347432023,0.091034725544,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_019,0.358347432054,0.091034725533,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_020,0.426325511898,0.070772513697,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_021,0.426325511926,0.070772513653,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_022,0.426325511930,0.070772513645,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_045,0.595450393938,0.142936350142,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_046,0.595450393938,0.142936350142,true,PySCF_TDDFT_PBE_def2-TZVP
Zn,rpa_047,0.595450393938,0.142936350142,true,PySCF_TDDFT_PBE_def2-TZVP
